doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,titleWordCount,clientName,clientType
10.13140/2.1.4738.5929,rg.rg,2005,Other,Short Sea Shipping Probability Study,Blekinge Institute of Technology,1,0,0,1,0,2015-01-28T19:43:27Z,2025-10-06T13:35:48Z,1,,,,,5,ResearchGate,repository
10.18151/7217436,tib.astone,2015,article,An Analysis of Change Scenarios of an IT Organization for Flexibility Building,"University of Münster, Münster, Germany",0,1,0,1,0,2015-07-23T09:23:42Z,2020-08-19T20:28:48Z,1,,,,,12,"Institut für Wirtschaftsinformatik, Westfälische Wilhelms-Universität Münster",repository
10.13140/rg.2.1.2680.3927,rg.rg,2015,Text,Developing Inclusive Innovation Processes and Co-evolutionary Approaches in Bolivia,Blekinge Institute of Technology,1,0,0,1,0,2015-10-06T18:04:14Z,2025-10-08T11:17:23Z,1,,,,,9,ResearchGate,repository
10.5281/zenodo.50863,cern.zenodo,2016,Text,Recode: Policy Recommendations For Open Access To Research Data,Zenodo,0,1,0,1,0,2016-05-03T17:56:59Z,2020-07-27T17:47:52Z,1,,,,,9,Zenodo,repository
10.5281/zenodo.153825,cern.zenodo,2016,Software,SocialCrawler 2.9,Zenodo,0,1,0,1,0,2016-09-12T11:04:33Z,2023-04-25T18:08:33Z,1,,,,,2,Zenodo,repository
10.5281/zenodo.163861,cern.zenodo,2016,Software,SocialCrawler,Zenodo,0,1,0,1,0,2016-10-30T20:09:57Z,2023-04-25T18:05:06Z,1,,,,,1,Zenodo,repository
10.5281/zenodo.242385,cern.zenodo,2017,Dataset,Privacy Policies From Legitimate And Rogue Web Sites,Zenodo,0,1,0,1,0,2017-01-13T14:26:48Z,2020-09-18T18:20:08Z,1,1,OPEN,1,9,8,Zenodo,repository
10.13140/rg.2.2.13742.31041,rg.rg,2011,Text,Impact of Packet Losses on the Quality of Video Stream Transmission,Blekinge Institute of Technology Sweden,1,0,0,1,0,2017-01-26T14:52:20Z,2025-10-16T12:10:06Z,1,,,,,11,ResearchGate,repository
10.5281/zenodo.594448,cern.zenodo,2016,Software,SocialCrawler,Zenodo,0,1,0,0,1,2017-05-30T02:45:28Z,2023-04-25T18:05:07Z,1,,,,,1,Zenodo,repository
10.7910/dvn/ba57if,gdcc.harvard-dv,2017,Dataset,Replication Data for: Ordering Classifier Chains using filter model feature selection techniques,Harvard Dataverse,0,1,1,1,0,2017-07-03T12:30:01Z,2025-06-02T10:23:52Z,1,1,OPEN,,,12,Harvard Dataverse,repository
10.5281/zenodo.2240632,cern.zenodo,2018,Software,Facebook Social Network dataset manipulator,Zenodo,0,1,0,1,0,2018-12-13T09:23:03Z,2023-04-25T19:56:45Z,1,,,,,5,Zenodo,repository
10.5281/zenodo.2240631,cern.zenodo,2018,Software,Facebook Social Network dataset manipulator,Zenodo,0,1,0,0,1,2018-12-13T09:23:05Z,2023-04-25T19:56:46Z,1,,,,,5,Zenodo,repository
10.5281/zenodo.2602204,cern.zenodo,2019,Dataset,Artifacts: An Approach for Reviewing Security Related Apects in Agile Requirements Specifications of Web Applications,Zenodo,0,1,0,0,1,2019-04-06T02:18:23Z,2020-07-29T07:38:51Z,1,1,OPEN,15,6,15,Zenodo,repository
10.5281/zenodo.3260328,cern.zenodo,2019,Dataset,Artifacts: An Approach for Reviewing Security Related Apects in Agile Requirements Specifications of Web Applications,Zenodo,0,1,0,1,0,2019-06-29T05:14:48Z,2020-07-29T18:51:05Z,1,1,OPEN,15,6,15,Zenodo,repository
