doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,titleWordCount,referencedByDOI
10.5061/dryad.r76cm3bn,dryad.dryad,2011,Dataset,Data from: Interpreting the evolutionary regression: the interplay between observational and biological errors in phylogenetic comparative studies,Dryad,0,1,0,1,0,2011-10-14T19:50:05Z,2025-07-21T16:56:05Z,1,1,OPEN,6,2,17,
10.5291/ill-data.6-01-314,inist.ill,2012,Dataset,Dynamics across the liquid-liquid transition in supercooled tellurium,Institut Laue-Langevin (ILL),0,1,0,1,0,2013-04-25T11:48:49Z,2025-10-17T08:06:33Z,1,1,OPEN,,,8,
10.5291/ill-data.3-01-619,inist.ill,2012,Dataset,Collinear Cluster Tripartition - is it real?,Institut Laue-Langevin (ILL),0,1,0,1,0,2013-04-25T11:58:04Z,2021-06-08T08:40:42Z,1,1,OPEN,,,7,
10.5281/zenodo.11109,cern.zenodo,2014,Text,Atmospheric Radiative Transfer Generalised For Use On Earth And Other Planets: Arts 2.2,Zenodo,0,1,0,1,0,2014-08-01T20:00:17Z,2020-07-26T16:43:46Z,1,,,,,13,
10.5281/zenodo.11206,cern.zenodo,2014,Text,"Ubiquitous Argonium, Arh⁺, In The Diffuse Interstellar Medium",Zenodo,0,1,0,1,0,2014-08-06T15:36:19Z,2020-07-26T16:44:59Z,1,,,,,8,
10.13140/2.1.4646.5282,rg.rg,2013,Text,Effective Tactics of Team Management: A Case Study on Volvo Car Corporation,Chalmers University of Technology,1,0,0,1,0,2014-09-19T09:00:04Z,2025-10-02T02:59:29Z,1,,,,,12,
10.5281/zenodo.11784,cern.zenodo,2013,Text,Efda–Jet–Pr(13)01 Numerical Analysis Of Jet Discharges With The European Transport Simulator,Zenodo,0,1,0,1,0,2014-09-19T12:56:27Z,2020-07-26T16:50:12Z,1,,,,,11,
10.13140/2.1.3493.6327,rg.rg,1994,Other,Dynamic analysis of the overhead contact line (in electricity powered railway systems),Chalmers Tekniska Högskola,1,0,0,1,0,2014-10-16T12:47:22Z,2025-10-01T22:49:47Z,1,,,,,12,
10.13140/2.1.4542.2082,rg.rg,1994,Other,Theoretucal and Experimental Analysis of Railway Beams,Chalmers Tekniska Högskola,1,0,0,1,0,2014-10-16T12:49:27Z,2025-10-01T22:49:45Z,1,,,,,7,
10.5291/ill-data.7-03-124,inist.ill,2013,Dataset,Fundamentals of proton self diffusion in proton conducting perovskite type oxides,Institut Laue-Langevin (ILL),0,1,0,1,0,2014-10-24T14:24:12Z,2021-03-09T10:21:28Z,1,1,OPEN,,,11,
10.5291/ill-data.7-03-126,inist.ill,2014,Dataset,Local proton dynamics in proton conducting perovskite type oxides,Institut Laue-Langevin (ILL),0,1,0,1,0,2014-10-24T14:42:10Z,2021-03-09T10:21:29Z,1,1,OPEN,,,9,
10.5291/ill-data.7-03-130,inist.ill,2014,Dataset,Fundamentals of proton self diffusion in proton conducting perovskite type oxides,Institut Laue-Langevin (ILL),0,1,0,1,0,2014-10-24T14:42:12Z,2021-03-09T10:21:32Z,1,1,OPEN,,,11,
10.5281/zenodo.12640,cern.zenodo,2014,Text,Modelling Sound Propagation In The Presence Of Atmospheric Turbulence For The Auralisation Of Aircraft Noise,Zenodo,0,1,0,1,0,2014-11-11T12:08:16Z,2020-07-26T17:40:33Z,1,,,,,15,
