doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.13140/rg.2.1.3126.4803,rg.rg,ResearchGate,2015,Other,"Förståelse, bedömningar och hjälpinsatser: Socialarbetares arbete med män som våldsoffer",Dalarna university,2015-03-30T14:00:41Z,2025-10-06T19:11:29Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.5061/dryad.786m4,dryad.dryad,DRYAD,2017,Dataset,Data from: Insights into the genetic architecture of morphological traits in two passerine bird species,Dryad,2017-05-15T20:12:26Z,2025-07-21T12:14:06Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,14,1,,,,,15,,repository
10.7910/dvn/0om2wp,gdcc.harvard-dv,Harvard Dataverse,2018,Dataset,"A Structured Review of Semi-Presidential Studies: Debates, Results and Missing Pieces",Harvard Dataverse,2018-05-09T08:22:24Z,2025-06-03T10:59:12Z,0,,1,1,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,11,,repository
10.5061/dryad.5337hv7,dryad.dryad,DRYAD,2019,Dataset,Data from: Out of sight of wind turbines – reindeer response to wind farms in operation,Dryad,2018-08-20T15:25:53Z,2025-07-22T06:06:19Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,1,3,,,,,16,,repository
10.6084/m9.figshare.c.5065743,figshare.ars,figshare Academic Research System,2020,Collection,A cross-omics integrative study of metabolic signatures of chronic obstructive pulmonary disease,figshare,2020-07-17T13:02:10Z,2024-03-22T10:33:18Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,12,,repository
10.6084/m9.figshare.c.5065743.v1,figshare.ars,figshare Academic Research System,2020,Collection,A cross-omics integrative study of metabolic signatures of chronic obstructive pulmonary disease,figshare,2020-07-17T13:02:14Z,2024-03-22T10:33:19Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,12,,repository
10.6084/m9.figshare.12667566,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 1 of A cross-omics integrative study of metabolic signatures of chronic obstructive pulmonary disease,figshare,2020-07-17T13:03:48Z,2024-02-08T16:32:08Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,16,10.1186/s12890-020-01222-7,repository
10.6084/m9.figshare.12667566.v1,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 1 of A cross-omics integrative study of metabolic signatures of chronic obstructive pulmonary disease,figshare,2020-07-17T13:03:48Z,2024-02-08T16:32:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,16,10.1186/s12890-020-01222-7,repository
10.6084/m9.figshare.c.5077416.v1,figshare.ars,figshare Academic Research System,2020,Collection,"Dual-task tests discriminate between dementia, mild cognitive impairment, subjective cognitive impairment, and healthy controls – a cross-sectional cohort study",figshare,2020-07-30T07:35:22Z,2024-05-13T14:43:44Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,19,,repository
10.6084/m9.figshare.c.5077416.v2,figshare.ars,figshare Academic Research System,2020,Collection,"Dual-task tests discriminate between dementia, mild cognitive impairment, subjective cognitive impairment, and healthy controls – a cross-sectional cohort study",figshare,2020-08-28T03:59:26Z,2024-05-13T14:43:43Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,19,,repository
10.5281/zenodo.3999415,cern.zenodo,Zenodo,2020,Text,Classification of Matilde Regions. Spatial Specificities and Third Country Nationals Distribution,Zenodo,2020-09-25T12:19:58Z,2021-07-19T08:10:17Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,11,,repository
10.5281/zenodo.3999414,cern.zenodo,Zenodo,2020,Text,Classification of Matilde Regions. Spatial Specificities and Third Country Nationals Distribution,Zenodo,2020-09-25T12:19:59Z,2021-07-19T08:10:19Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,11,,repository
10.13140/rg.2.2.31325.54247,rg.rg,ResearchGate,2021,Text,The emergence of Microdata Analysis and its intellectual history over the past two decades,Dalarna University,2021-02-01T19:44:22Z,2025-10-20T10:12:33Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,14,,repository
10.11587/lihk1l,gesis.aussda,AUSSDA - The Austrian Social Science Data Archive,2021,Dataset,Values in Crisis International (SUF edition),AUSSDA,2021-06-01T11:16:55Z,2025-09-05T18:32:44Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,RESTRICTED,,,,,,,6,,repository
10.5061/dryad.cnp5hqc38,dryad.dryad,DRYAD,2021,Dataset,Spatial allocation without spatial recruitment in bumblebees,Dryad,2021-06-13T19:14:20Z,2025-07-22T19:11:00Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,1,5,,,,,7,,repository
10.13140/rg.2.2.14800.23044,rg.rg,ResearchGate,1998,Text,"Towards Sustainable Development - Environmental Objectives and Indicators in Spatial Planning A preliminary study BOVERKET NATURVARDSVERKET TITLE: Towards Sustainable Development -Envirormiental Objectives and Indicators in Spatial Planning PUBLISHED BY: The National Board of Housing, Building and Planning and The Swedish Environmental Protection Agency",Dalarna University,2021-06-14T14:19:04Z,2025-10-20T11:07:42Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,43,,repository
10.5281/zenodo.4892518,cern.zenodo,Zenodo,2021,Dataset,Variation in Detected Adverse Events using Trigger Tools: A Systematic Review and Meta-Analysis,Zenodo,2021-07-07T13:35:30Z,2022-09-02T13:49:26Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,1,18,,,,,13,,repository
