doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.13140/rg.2.1.4257.3529,rg.rg,ResearchGate,2011,Text,East Timor: Beyond the Call of Duty,"Pusat Penerbitan (PUSPEN), National Defence University of Malaysia",2015-10-07T13:32:18Z,2025-10-08T11:18:34Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,7,,repository
10.5281/zenodo.1434293,cern.zenodo,Zenodo,2018,Software,Kreastr/someklusterointi: Release version v0.1,Zenodo,2018-09-24T15:17:11Z,2023-04-25T19:37:52Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,4,,repository
10.5281/zenodo.1434292,cern.zenodo,Zenodo,2018,Software,Kreastr/someklusterointi: Release version v0.1,Zenodo,2018-09-24T15:17:12Z,2023-04-25T19:37:52Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,4,,repository
10.18455/12002,zbmed.forges,"HEE Journal - The Journal of Health, Environment, and Education",2020,PeerReview,Analysis of the Usage of Plastic Utensils in Café Facilities: A Case Study of Universities in Islamabad,"The Journal of Health, Environment, and Education",2020-02-26T12:09:50Z,2022-11-16T08:43:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,,repository
10.5281/zenodo.4630251,cern.zenodo,Zenodo,2021,Audiovisual,Supplementary Movie: Tracking an Occluded Visual Target with Sequences of Saccades,Zenodo,2021-03-23T13:23:49Z,2021-03-23T13:23:50Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,11,,repository
10.5281/zenodo.4630250,cern.zenodo,Zenodo,2021,Dataset,Supplementary Information: Tracking an Occluded Visual Target with Sequences of Saccades,Zenodo,2021-03-23T13:23:51Z,2021-09-09T12:18:42Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,11,,repository
10.5281/zenodo.5468679,cern.zenodo,Zenodo,2021,Dataset,Supplementary Information: Tracking an Occluded Visual Target with Sequences of Saccades,Zenodo,2021-09-09T12:18:38Z,2021-09-09T12:18:39Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,11,,repository
10.7910/dvn/zhhjfk,gdcc.harvard-dv,Harvard Dataverse,2023,Dataset,Replication Data for: Introducing the UCDP CID (JCR),Harvard Dataverse,2023-11-23T09:13:56Z,2025-06-03T12:56:07Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,1,,,,,,https://openalex.org/W4398939687,1,0,8,10.1177/00220027231218633/,repository
10.60692/5y8dq-x9y69,iapx.bsycxq,Greater South Information System,2021,Text,Interval-Valued Spherical Fuzzy Analytic Hierarchy Process Method to Evaluate Public Transportation Development,OpenAlex,2024-05-09T15:06:27Z,2024-05-13T02:22:54Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,,repository
10.60692/hgz3t-12w76,iapx.bsycxq,Greater South Information System,2021,Text,Interval-Valued Spherical Fuzzy Analytic Hierarchy Process Method to Evaluate Public Transportation Development,OpenAlex,2024-05-09T15:06:27Z,2024-05-13T02:22:54Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,,repository
