doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,titleWordCount,referencedByDOI
10.5061/dryad.68722,dryad.dryad,2011,Dataset,"Data from: Inferring species networks from gene trees in high-polyploid North American and Hawaiian violets (Viola, Violaceae)",Dryad,0,1,0,1,0,2011-08-25T19:59:41Z,2025-07-21T14:00:59Z,1,1,OPEN,1,2,17,
10.5061/dryad.r76cm3bn,dryad.dryad,2011,Dataset,Data from: Interpreting the evolutionary regression: the interplay between observational and biological errors in phylogenetic comparative studies,Dryad,0,1,0,1,0,2011-10-14T19:50:05Z,2025-07-21T16:56:05Z,1,1,OPEN,6,2,17,
10.5061/dryad.1992,dryad.dryad,2010,Dataset,Data from: Heterozygosity-fitness correlations of conserved microsatellite markers in Kentish plovers Charadrius alexandrinus,Dryad,0,1,0,1,0,2011-11-22T18:29:33Z,2025-07-21T21:53:41Z,1,1,OPEN,0,4,13,
10.5061/dryad.8f3bk,dryad.dryad,2011,Dataset,Data from: Molecular data and ploidal levels indicate several putative allopolyploidization events in the genus Potentilla (Rosaceae),Dryad,0,1,0,1,0,2011-11-22T18:35:53Z,2025-07-21T16:01:54Z,1,1,OPEN,4,2,17,
10.5061/dryad.8181,dryad.dryad,2010,Dataset,Data from: Assessing the complex architecture of polygenic traits in diverged yeast populations,Dryad,0,1,0,1,0,2011-11-22T19:09:57Z,2025-07-22T08:14:43Z,1,1,OPEN,0,6,13,
10.1594/pangaea.655125,pangaea.repository,2007,Dataset,Hydrochemistry measured on water bottle samples during SVANIC cruise Svanic90/2,PANGAEA,0,0,1,1,0,2011-12-03T12:09:17Z,2024-07-20T11:59:29Z,1,,,,,10,
10.1594/pangaea.655182,pangaea.repository,2007,Dataset,Hydrochemistry measured on water bottle samples during Trygve Braarud cruise TB90,PANGAEA,0,0,1,1,0,2011-12-03T12:09:18Z,2024-07-20T17:14:07Z,1,,,,,11,
10.1594/pangaea.655714,pangaea.repository,2007,Dataset,Current meter data from mooring PEX86_M10,PANGAEA,0,0,1,1,0,2011-12-03T12:10:11Z,2024-07-20T11:14:13Z,1,,,,,6,
10.1594/pangaea.655719,pangaea.repository,2007,Dataset,Current meter data from mooring PEX86_M13,PANGAEA,0,0,1,1,0,2011-12-03T12:10:12Z,2024-07-21T00:49:21Z,1,,,,,6,
10.1594/pangaea.655724,pangaea.repository,2007,Dataset,Current meter data from mooring PEX86_M8,PANGAEA,0,0,1,1,0,2011-12-03T12:10:14Z,2024-07-20T17:54:52Z,1,,,,,6,
10.1594/pangaea.657062,pangaea.repository,2007,Dataset,Physical oceanography and hydrochemistry during SVANIC cruise Svanic86/1,PANGAEA,0,0,1,1,0,2011-12-03T12:15:45Z,2024-07-20T09:30:17Z,1,,,,,8,
10.1594/pangaea.715045,pangaea.repository,2008,Dataset,"Seawater carbonate chemistry and nutrients measured on water bottle samples during the International Siberian Shelf Study 2008 (ISSS-08) in the Laptev, East Siberian and Chukchi Seas",PANGAEA,0,0,1,1,0,2011-12-03T14:35:01Z,2024-03-01T04:06:55Z,1,,,,,26,
10.1594/pangaea.746928,pangaea.repository,2010,Dataset,Meteorological observations during Götha Leijon cruise from Gothenburg to Macao started at 1750-04-01,PANGAEA,0,0,1,1,0,2011-12-03T16:01:44Z,2024-07-20T20:23:38Z,1,,,,,13,
10.1594/pangaea.746929,pangaea.repository,2010,Dataset,Meteorological observations during Götha Leijon cruise from Macao to Gothenburg started at 1752-01-06,PANGAEA,0,0,1,1,0,2011-12-03T16:01:44Z,2024-07-20T18:09:33Z,1,,,,,13,
10.3334/cdiac/otg.carina_06aq19930806,noaa.ncei,2013,Dataset,"Dissolved inorganic carbon, temperature, salinity and other variables collected from discrete sample and profile observations using CTD, bottle and other instruments from the POLARSTERN in the Arctic Ocean, Kara Sea and Laptev (or Nordenskjold) Sea from 1993-08-06 to 1993-10-05 (NCEI Accession 0113593)",NOAA National Centers for Environmental Information,0,1,0,1,0,2012-01-09T19:26:41Z,2025-10-03T12:06:08Z,1,1,,,,42,
10.3334/cdiac/otg.carina_06aq19960712,noaa.ncei,2013,Dataset,"Dissolved inorganic carbon, pH, alkalinity, temperature, salinity and other variables collected from discrete sample and profile observations using CTD, bottle and other instruments from the POLARSTERN in the Arctic Ocean from 1996-07-12 to 1996-09-06 (NCEI Accession 0113594)",NOAA National Centers for Environmental Information,0,1,0,1,0,2012-01-09T19:26:51Z,2025-10-03T12:06:10Z,1,1,,,,37,
10.3334/cdiac/otg.carina_58a119890214,noaa.ncei,2013,Dataset,"Dissolved inorganic carbon, alkalinity, temperature, salinity and other variables collected from discrete sample and profile observations using CTD, bottle and other instruments from STENA ARCTICA in the South Atlantic Ocean and Southern Oceans from 1989-02-14 to 1989-03-17 (NCEI Accession 0113893)",NOAA National Centers for Environmental Information,0,1,0,1,0,2012-01-09T19:39:54Z,2025-10-03T12:06:41Z,1,1,,,,40,
10.3334/cdiac/otg.carina_58jh19970414,noaa.ncei,2013,Dataset,"Dissolved inorganic carbon, pH, alkalinity, temperature, salinity and other variables collected from discrete sample and profile observations using CTD, bottle and other instruments from the JOHAN HJORT in the North Greenland Sea and Norwegian Sea from 1997-04-14 to 1997-05-22 (NCEI Accession 0113563)",NOAA National Centers for Environmental Information,0,1,0,1,0,2012-01-09T19:42:58Z,2025-10-03T12:05:42Z,1,1,,,,42,
10.3334/cdiac/otg.carina_58la19860719,noaa.ncei,2013,Dataset,"Dissolved inorganic carbon, pH, alkalinity, temperature, salinity and other variables collected from discrete sample and profile observations using CTD, bottle and other instruments from the LANCE in the Barents Sea from 1986-07-19 to 1986-07-26 (NCEI Accession 0113910)",NOAA National Centers for Environmental Information,0,1,0,1,0,2012-01-09T19:43:58Z,2025-10-03T12:06:45Z,1,1,,,,37,
10.3334/cdiac/otg.carina_77dn19910726,noaa.ncei,2013,Dataset,"Dissolved inorganic carbon, alkalinity, temperature, salinity and other variables collected from discrete sample and profile observations using CTD, bottle and other instruments from ODEN in the Arctic Ocean from 1991-07-26 to 1991-09-03 (NCEI Accession 0113591)",NOAA National Centers for Environmental Information,0,1,0,1,0,2012-01-09T19:48:15Z,2025-10-03T12:06:06Z,1,1,,,,35,
10.3334/cdiac/otg.carina_77dn20010717,noaa.ncei,2013,Dataset,"Alkalinity, temperature, salinity and other variables collected from discrete sample and profile observations using CTD, bottle and other instruments from the ODEN in the Arctic Ocean from 2001-07-17 to 2001-07-26 (NCEI Accession 0113589)",NOAA National Centers for Environmental Information,0,1,0,1,0,2012-01-09T19:48:25Z,2025-10-03T12:06:03Z,1,1,,,,33,
10.3334/cdiac/otg.carina_77dn20020420,noaa.ncei,2013,Dataset,"Dissolved inorganic carbon, pH, alkalinity, temperature, salinity and other variables collected from discrete sample and profile observations using CTD, bottle and other instruments from the ODEN in the Arctic Ocean, Barents Sea and others from 2002-04-20 to 2002-06-06 (NCEI Accession 0113590)",NOAA National Centers for Environmental Information,0,1,0,1,0,2012-01-09T19:48:34Z,2025-10-03T12:06:05Z,1,1,,,,41,
10.3334/cdiac/otg.carina_77ym19800811,noaa.ncei,2013,Dataset,"Temperature, salinity and other variables collected from discrete sample and profile observations using CTD, bottle and other instruments from the YMER in the Arctic Ocean, Barents Sea and North Greenland Sea from 1980-08-11 to 1980-09-19 (NCEI Accession 0113607)",NOAA National Centers for Environmental Information,0,1,0,1,0,2012-01-09T19:48:47Z,2025-09-30T12:05:09Z,1,1,,,,38,
10.3334/cdiac/otg.carina_90aq19940706,noaa.ncei,2013,Dataset,"Dissolved inorganic carbon, alkalinity, temperature, salinity and other variables collected from discrete sample and profile observations using CTD, bottle and other instruments from the AKADEMIK FYODOROV in the East Siberia Sea and Laptev (or Nordenskjold) Sea from 1994-07-05 to 1994-08-08 (NCEI Accession 0113884)",NOAA National Centers for Environmental Information,0,1,0,1,0,2012-01-09T19:48:57Z,2025-10-03T12:06:31Z,1,1,,,,43,
10.3334/cdiac/otg.carina_91aa19971204,noaa.ncei,2013,Dataset,"Dissolved inorganic carbon, pH, alkalinity, temperature, salinity and other variables collected from discrete sample and profile observations using CTD, bottle and other instruments from the S. A. AGULHAS in the South Atlantic Ocean from 1997-12-04 to 1998-02-06 (NCEI Accession 0113247)",NOAA National Centers for Environmental Information,0,1,0,1,0,2012-01-09T19:49:06Z,2025-10-03T12:05:03Z,1,1,,,,40,
