doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5281/zenodo.8569,cern.zenodo,Zenodo,2014,Text,The E-Book Phenomenon: A Disruptive Technology,Zenodo,2014-04-02T05:18:37Z,2020-07-26T16:09:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.18716/ride.a.2.4,zbmed.unikoeln,Universitäts- und Stadtbibliothek Köln,2014,JournalArticle,The Fleischmann diaries,"Institut für Dokumentologie und Editorik e.V., s.l.",2016-10-11T22:40:23Z,2024-09-06T10:29:31Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,3,,repository
10.5281/zenodo.344053,cern.zenodo,Zenodo,2014,Text,A Vector Field Approach To Lexical Semantics,Zenodo,2017-02-28T15:44:41Z,2020-09-18T19:11:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,7,,repository
10.5281/zenodo.344786,cern.zenodo,Zenodo,2015,Text,Monitoring Term Drift Based On Semantic Consistency In An Evolving Vector Field,Zenodo,2017-03-01T09:41:42Z,2020-09-18T19:11:25Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,,repository
10.5281/zenodo.345343,cern.zenodo,Zenodo,2016,Text,Studying The Cohesion Evolution Of Genes Related To Chronic Lymphocytic Leukemia Using Semantic Similarity In Gene Ontology And Self-Organizing Maps,Zenodo,2017-03-03T12:56:41Z,2020-09-18T19:13:42Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,20,,repository
10.5281/zenodo.345383,cern.zenodo,Zenodo,2017,Text,"An Overview Of Semantic Change: Understanding The Phenomenon, Current Trends And Future Research Roadmap",Zenodo,2017-03-03T16:09:38Z,2024-09-02T00:16:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,14,,repository
10.5281/zenodo.345397,cern.zenodo,Zenodo,2016,Text,Pericles – Digital Preservation Through Management Of Change In Evolving Ecosystems,Zenodo,2017-03-03T16:47:08Z,2020-09-18T19:12:37Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,11,,repository
10.18716/ride.a.6.2,zbmed.unikoeln,Universitäts- und Stadtbibliothek Köln,2017,JournalArticle,Litteraturbanken : the Swedish Literature Bank,"Institut für Dokumentologie und Editorik e.V., s.l.",2017-09-14T12:09:08Z,2024-09-06T10:55:15Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.17613/m6vq2s92d,msu.core,Knowledge Commons Works,2013,JournalArticle,"""Deep down things"": in what ways is information physical, and why does it matter for LIS?,","Swedish School of Library and Information Science, University of Borås",2018-08-16T07:47:30Z,2024-11-18T21:34:33Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,,repository
10.5281/zenodo.3268518,cern.zenodo,Zenodo,2019,Audiovisual,Measuring Impact: Research Assessment,Zenodo,2019-07-04T09:45:30Z,2020-07-29T19:04:00Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,4,,repository
