doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,clientName,clientType
10.4232/1.5101,gesis.gesis,2014,Dataset,Political Communication Cultures in Western Europe,GESIS Data Archive,0,1,0,1,0,2014-10-30T13:04:37Z,2024-06-20T21:20:49Z,1,1,,,,GESIS Data Archive,repository
10.14279/tuj.eceasst.72.1022,tib.tub,2015,JournalArticle,State Distribution Policy for Distributed Model Checking of Actor Models,Electronic Communications of the EASST,0,1,0,1,0,2016-01-06T09:33:42Z,2024-04-05T14:33:28Z,1,,,,,Technische Universität Berlin – Universitätsbibliothek,repository
10.14279/tuj.eceasst.72.1022.1011,tib.tub,2015,JournalArticle,State Distribution Policy for Distributed Model Checking of Actor Models,Electronic Communications of the EASST,0,1,0,1,0,2016-01-06T09:33:59Z,2024-04-05T14:47:32Z,1,,,,,Technische Universität Berlin – Universitätsbibliothek,repository
10.5878/k4gh-wt43,snd.snd,2019,Dataset,Data for: An iterative approach to determine the refractive index of 3D printed 60GHz PLA lenses,Halmstad University,1,1,1,0,1,2019-04-25T01:30:33Z,2025-09-22T10:22:54Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/s25w-jm75,snd.snd,2019,Dataset,Data for: An iterative approach to determine the refractive index of 3D printed 60GHz PLA lenses,Halmstad University,1,1,1,1,0,2019-04-25T01:30:34Z,2025-09-22T08:56:03Z,1,1,,,,Swedish National Data Service,repository
10.5281/zenodo.3384888,cern.zenodo,2016,Text,Snacking on Knowledge and Feel Good - Challenging discourses on arts in education,Zenodo,0,1,0,0,0,2019-09-03T13:25:04Z,2020-07-29T23:52:23Z,1,,,,,Zenodo,repository
10.5281/zenodo.3384889,cern.zenodo,2016,Text,Snacking on Knowledge and Feel Good - Challenging discourses on arts in education,Zenodo,0,1,0,1,0,2019-09-03T13:25:04Z,2020-07-29T23:52:23Z,1,,,,,Zenodo,repository
10.5281/zenodo.3896381,cern.zenodo,2020,Text,Documentation on excess heat potentials of industrial sites including open data file with selected potentials,Zenodo,0,1,0,1,0,2020-06-16T12:35:10Z,2020-06-16T12:38:28Z,1,,,,,Zenodo,repository
10.5281/zenodo.3896380,cern.zenodo,2020,Text,Documentation on excess heat potentials of industrial sites including open data file with selected potentials,Zenodo,0,1,0,0,1,2020-06-16T12:35:12Z,2021-05-25T10:26:41Z,1,,,,,Zenodo,repository
10.5281/zenodo.3902134,cern.zenodo,2020,Text,Documentation and dataset from the analysis and mapping of cities with similar topography and demography and the relation to energy efficient transport and mobility,Zenodo,0,1,0,1,0,2020-06-20T10:50:01Z,2020-09-08T07:59:47Z,1,,,,,Zenodo,repository
