doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5878/000080,snd.snd,Swedish National Data Service,1982,Dataset,Functions of the press: Journalists' study 1973,Handelshögskolan i Stockholm,2013-12-17T19:28:38Z,2025-09-22T10:01:53Z,1,,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,7,,repository
10.5878/001027,snd.snd,Swedish National Data Service,1982,Dataset,Functions of the press: Journalists' study 1973,Handelshögskolan i Stockholm,2013-12-17T19:46:37Z,2025-09-22T09:17:53Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,7,,repository
10.13140/rg.2.1.4932.5527,rg.rg,ResearchGate,2015,Other,Tradable Permits in Cost–Benefit Analysis,Stockholm School of Economics,2015-11-10T08:15:37Z,2025-10-08T12:10:59Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,5,,repository
10.5281/zenodo.1036744,cern.zenodo,Zenodo,2017,Text,"The Dynamics Of Innovation In The Wireless Telecom Industry During Two Eras Of Technological Convergence, 1995-2015",Zenodo,2017-10-25T14:44:53Z,2020-09-19T01:46:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,,repository
10.5281/zenodo.1036743,cern.zenodo,Zenodo,2017,Text,"The Dynamics Of Innovation In The Wireless Telecom Industry During Two Eras Of Technological Convergence, 1995-2015",Zenodo,2017-10-25T14:44:54Z,2020-09-19T01:46:13Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,,repository
10.5878/003018,snd.snd,Swedish National Data Service,2018,Dataset,Quality of Research Practice: Face validity questionnaire responses,Handelshögskolan i Stockholm,2018-06-14T01:30:29Z,2025-09-22T10:19:41Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,8,10.1016/j.respol.2015.11.009,repository
10.5878/003019,snd.snd,Swedish National Data Service,2018,Dataset,Quality of Research Practice: Face validity questionnaire responses,Handelshögskolan i Stockholm,2018-06-14T01:30:29Z,2025-09-22T08:54:13Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,8,10.1016/j.respol.2015.11.009,repository
10.7910/dvn/sxeiis,gdcc.harvard-dv,Harvard Dataverse,2018,Dataset,Replication Data for: Experimental Evidence on the Long-Run Impact of Community-Based Monitoring,Harvard Dataverse,2018-07-04T14:18:55Z,2025-06-03T13:29:31Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,,,,https://openalex.org/W4398829160,0,0,12,10.1257/app.20150027,repository
10.7910/dvn/kwncnd,gdcc.harvard-dv,Harvard Dataverse,2018,Dataset,Replication Data for: 'Household Time Use Among Older Couples: Evidence and Implications for Labor Supply Parameters',Harvard Dataverse,2018-11-26T21:46:14Z,2025-06-03T12:22:33Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,,,,https://openalex.org/W4398484846,1,0,16,10.1093/qje/qjy032,repository
10.7910/dvn/19vcpg,gdcc.harvard-dv,Harvard Dataverse,2012,Dataset,Replication data for: Common Trends and Shocks to Top Incomes: A Structural Breaks Approach,Harvard Dataverse,2019-02-13T03:12:53Z,2025-06-03T11:00:59Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,,,,https://openalex.org/W4398478292,0,0,14,,repository
