doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.4231/d36h4cp9j,purdue.purduelib,Purdue University Research Repository,2011,Dataset,Dataset for Investigating Computational Efficiency of Alternative Arterial Offset Optimization Algorithms,"Indiana Department of Transportation and Purdue University, West Lafayette, Indiana",2011-10-10T15:10:55Z,2023-10-04T17:49:38Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,11,,repository
10.13140/2.1.1313.2160,rg.rg,ResearchGate,2013,Text,Beyond AI: Artificial Golem Intelligence (BAI2013 conference proceedings),University of West Bohemia,2014-09-11T14:52:24Z,2025-10-02T04:01:15Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,8,,repository
10.6067/xcv86m37zs,asu.tdar,The Digital Archeological Record (tDAR),2011,Text,MORE THAN JUST COPIES: COLONO WARE AS A REFLECTION OF MULTIETHNIC INTERACTION ON THE 18TH-CENTURY SPANISH FRONTIER OF WEST FLORIDA,University of West Florida,2015-04-16T07:35:21Z,2021-07-06T08:52:47Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,20,,repository
10.13140/rg.2.1.1663.6005,rg.rg,ResearchGate,2012,Other,Butterfly Gardens,"University of West Alabama, Center for the Study of the Black Belt, Black Belt Garden",2015-06-25T18:07:52Z,2025-10-07T19:40:21Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.18151/7217418,tib.astone,"Institut für Wirtschaftsinformatik, Westfälische Wilhelms-Universität Münster",2015,article,The Illusion of Structure: About Harmonization and Variation in Competence Management System Practices in a Public Healthcare Organization,"University of Münster, Münster, Germany",2015-07-23T12:31:34Z,2020-08-19T20:27:53Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,18,,repository
10.18133/nymebpk.2015.01,mtakik.nymebpk,Nyugat-magyarországi Egyetem Benedek Elek Pedagógiai Kar,2015,article,Early Childhood Education: International Research Report,"University of West Hungary, Benedek Elek Faculty of Pedagogy",2015-07-27T12:19:12Z,2020-08-19T20:29:36Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.13140/rg.2.1.3485.8009,rg.rg,ResearchGate,2016,Other,Climate change affects forest genetic resources: consequences for adaptive management (Policy Brief),"Professor, University of West Hungary",2016-01-26T10:07:22Z,2025-10-09T09:25:28Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,,repository
10.21256/zhaw-1896,ethz.zhaw,ZHAW Digital Collection,2008,Text,Flow-time estimation in dynamic job shops with priority scheduling using a hybrid modelling approach,University of West Bohemia,2018-03-29T02:30:07Z,2025-11-19T11:59:13Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,14,,repository
10.13140/rg.2.2.33018.13764,rg.rg,ResearchGate,2019,Text,"Conceptual Models, Human-Computer Interaction",University of West Florida,2019-02-23T05:34:23Z,2025-10-17T10:07:44Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,4,,repository
10.13140/rg.2.2.27025.68961,rg.rg,ResearchGate,2019,Text,CS 480 Systems Project -Mid-Term Exam,University of West Alabama,2019-04-15T23:49:23Z,2025-10-17T14:02:06Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
