doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.13140/2.1.1189.5049,rg.rg,ResearchGate,2013,Text,Business As Networks: A Case Study of Fedex,Karlstad University,2014-09-19T10:17:24Z,2025-10-02T02:58:23Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,8,,repository
10.13140/2.1.4597.3766,rg.rg,ResearchGate,2013,Text,The Luxury of Open Innovation: A Case Study of Whirlpool,Karlstad University,2014-09-19T10:30:33Z,2025-10-02T02:58:20Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.13140/2.1.3024.5120,rg.rg,ResearchGate,2013,Text,Creativity in Organizations: A Case Study of HILTI,Karlstad University,2014-09-19T10:34:33Z,2025-10-02T02:58:17Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,8,,repository
10.13140/2.1.3655.2006,rg.rg,ResearchGate,2014,Other,Understanding downstream migration timing of European eel (Anguilla anguilla) -Analysis and modelling of environmental triggers. Elforsk rapport 14:51,Karlstad University,2015-01-27T11:58:05Z,2025-10-06T13:48:30Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,18,,repository
10.13140/2.1.4261.4082,rg.rg,ResearchGate,2012,Other,Ål i Ätran,Karlstad University,2015-01-27T15:37:36Z,2025-10-06T13:46:32Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,3,,repository
10.13140/rg.2.1.4516.5925,rg.rg,ResearchGate,2012,Other,"Cesam, öppna dig - Samverkan i e-tjänsteutveckling i Värmland [C-course]",Karlstads universitet,2015-07-23T04:24:31Z,2025-10-08T09:18:46Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.13140/rg.2.1.2756.3365,rg.rg,ResearchGate,2011,Other,How Language And Identity Can Affect Economic Change - A Literature Study Of French Speaker's Identity And Language Use In The Quebec Province [D-course],Karlstad Business School at Karlstad University,2015-07-26T08:10:37Z,2025-10-08T09:23:16Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,24,,repository
10.13140/rg.2.1.2982.6640,rg.rg,ResearchGate,2014,Text,Att förena passion med försörjning. En diskussion om hobby och arbete i det senmoderna samhället,Karlstad University Studies,2015-12-17T09:29:21Z,2025-10-08T13:11:55Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,15,,repository
10.5281/zenodo.53110,cern.zenodo,Zenodo,2016,Text,Towards A Flexible Internet Transport Layer Architecture,Zenodo,2016-05-26T07:43:24Z,2020-07-27T18:17:17Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,7,,repository
10.5281/zenodo.55588,cern.zenodo,Zenodo,2016,Text,"Neat – A New, Evolutive Api And Transport-Layer Architecture For The Internet",Zenodo,2016-06-14T15:33:55Z,2020-07-27T18:30:05Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,,repository
10.5061/dryad.3q7c9,dryad.dryad,DRYAD,2017,Dataset,Data from: Bridge under troubled water: turbulence and niche partitioning in fish foraging,Dryad,2016-11-30T19:39:21Z,2025-07-21T22:29:54Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,0,3,,,,,13,,repository
10.5281/zenodo.887521,cern.zenodo,Zenodo,2017,Text,Speedtest-Like Measurements In 3G/4G Networks: The Monroe Experience,Zenodo,2017-09-08T08:26:09Z,2020-09-19T00:24:14Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,8,,repository
10.5281/zenodo.887520,cern.zenodo,Zenodo,2017,Text,Speedtest-Like Measurements In 3G/4G Networks: The Monroe Experience,Zenodo,2017-09-08T08:26:10Z,2020-09-19T00:24:14Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,8,,repository
10.5281/zenodo.887541,cern.zenodo,Zenodo,2017,Dataset,Speedtest-Like Measurements In 3G/4G Networks: The Monroe Experience,Zenodo,2017-09-08T08:45:07Z,2020-09-19T00:24:17Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,0,11,,https://openalex.org/W4393496028,0,0,8,,repository
10.5281/zenodo.887540,cern.zenodo,Zenodo,2017,Dataset,Speedtest-Like Measurements In 3G/4G Networks: The Monroe Experience,Zenodo,2017-09-08T08:45:08Z,2020-09-19T00:24:17Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,,OPEN,0,11,,https://openalex.org/W4393437066,0,0,8,,repository
10.5061/dryad.ps534,dryad.dryad,DRYAD,2017,Dataset,Data from: Marine ecosystem connectivity mediated by migrant–resident interactions and the concomitant cross-system flux of lipids,Dryad,2017-09-22T16:12:42Z,2025-07-22T00:34:43Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,1,2,,,,,16,,repository
10.5281/zenodo.1117769,cern.zenodo,Zenodo,2017,Text,Is It Harmful? Measuring People'S Perceptions Of Online Privacy Issues,Zenodo,2017-12-18T12:29:22Z,2020-09-19T08:17:08Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.5281/zenodo.1117768,cern.zenodo,Zenodo,2017,Text,Is It Harmful? Measuring People'S Perceptions Of Online Privacy Issues,Zenodo,2017-12-18T12:29:23Z,2020-09-19T08:17:08Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.5281/zenodo.1216078,cern.zenodo,Zenodo,2016,Text,First Version Of Services And Apis,Zenodo,2018-04-10T15:02:59Z,2020-09-20T00:58:52Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.5281/zenodo.1216077,cern.zenodo,Zenodo,2016,Text,First Version Of Services And Apis,Zenodo,2018-04-10T15:03:00Z,2020-09-20T00:58:52Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.5281/zenodo.1216112,cern.zenodo,Zenodo,2016,Text,First Version Of Low-Level Core Transport System,Zenodo,2018-04-10T15:41:34Z,2020-09-20T00:59:08Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,7,,repository
10.5281/zenodo.1216113,cern.zenodo,Zenodo,2016,Text,First Version Of Low-Level Core Transport System,Zenodo,2018-04-10T15:41:34Z,2020-09-20T00:59:08Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,7,,repository
10.5281/zenodo.1216117,cern.zenodo,Zenodo,2017,Text,"Core Transport System, With Both Low-Level And High-Level Components",Zenodo,2018-04-10T15:52:35Z,2020-09-20T00:59:10Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.5281/zenodo.1216118,cern.zenodo,Zenodo,2017,Text,"Core Transport System, With Both Low-Level And High-Level Components",Zenodo,2018-04-10T15:52:35Z,2020-09-20T00:59:10Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.5281/zenodo.1216125,cern.zenodo,Zenodo,2017,Text,Final Version Of Core Transport System,Zenodo,2018-04-10T16:02:10Z,2020-09-20T00:59:14Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.5281/zenodo.1216124,cern.zenodo,Zenodo,2017,Text,Final Version Of Core Transport System,Zenodo,2018-04-10T16:02:11Z,2020-09-20T00:59:14Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.5281/zenodo.1216129,cern.zenodo,Zenodo,2017,Text,Final Version Of Neat-Based Tools,Zenodo,2018-04-10T16:10:03Z,2020-09-20T00:59:16Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,5,,repository
10.5281/zenodo.1216130,cern.zenodo,Zenodo,2017,Text,Final Version Of Neat-Based Tools,Zenodo,2018-04-10T16:10:03Z,2020-09-20T00:59:16Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,5,,repository
10.5281/zenodo.1226887,cern.zenodo,Zenodo,2018,Dataset,Piece Of Cake: A Comprehensive Queue Management Solution For Home Gateways,Zenodo,2018-04-23T11:19:53Z,2020-09-20T01:20:25Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,4,16,,,,,11,,repository
10.5281/zenodo.1226886,cern.zenodo,Zenodo,2018,Dataset,Piece Of Cake: A Comprehensive Queue Management Solution For Home Gateways,Zenodo,2018-04-23T11:19:54Z,2020-09-20T01:20:25Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,,OPEN,4,16,,https://openalex.org/W2798402372,6,11,11,,repository
10.5281/zenodo.1227085,cern.zenodo,Zenodo,2018,Dataset,Flent: The Flexible Network Tester,Zenodo,2018-04-23T12:24:39Z,2020-09-20T01:19:12Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,0,3,,https://openalex.org/W4393711943,11,0,5,10.1145/3150928.3150957,repository
10.5281/zenodo.1227084,cern.zenodo,Zenodo,2018,Dataset,Flent: The Flexible Network Tester,Zenodo,2018-04-23T12:24:47Z,2020-09-20T01:19:12Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,OPEN,0,3,,,,,5,10.1145/3150928.3150957,repository
10.5281/zenodo.1227123,cern.zenodo,Zenodo,2018,Dataset,Ending The Anomaly: Achieving Low Latency And Airtime Fairness In Wifi,Zenodo,2018-04-23T12:38:26Z,2020-09-20T01:19:51Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,5,11,,https://openalex.org/W2962709920,26,0,11,,repository
10.5281/zenodo.1227122,cern.zenodo,Zenodo,2018,Dataset,Ending The Anomaly: Achieving Low Latency And Airtime Fairness In Wifi,Zenodo,2018-04-23T12:38:27Z,2020-09-20T01:19:52Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,,OPEN,5,11,,https://openalex.org/W2594360976,51,0,11,,repository
10.5281/zenodo.1227131,cern.zenodo,Zenodo,2018,Dataset,Measuring Latency Variation In The Internet,Zenodo,2018-04-23T12:45:48Z,2020-09-20T01:20:15Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,0,11,,https://openalex.org/W4393487527,0,0,6,10.1145/2999572.2999603,repository
10.5281/zenodo.1227130,cern.zenodo,Zenodo,2018,Dataset,Measuring Latency Variation In The Internet,Zenodo,2018-04-23T12:45:49Z,2020-09-20T01:20:15Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,,OPEN,0,11,,https://openalex.org/W4394050412,0,0,6,10.1145/2999572.2999603,repository
10.5281/zenodo.1253001,cern.zenodo,Zenodo,2018,Dataset,A Neat Approach To Mobile Communication,Zenodo,2018-05-25T13:50:57Z,2020-09-20T02:24:38Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,1,3,,https://openalex.org/W4393838242,0,0,6,,repository
10.5281/zenodo.1253000,cern.zenodo,Zenodo,2018,Dataset,A Neat Approach To Mobile Communication,Zenodo,2018-05-25T13:50:58Z,2020-09-20T02:24:38Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,,OPEN,1,3,,https://openalex.org/W4393747197,0,0,6,,repository
10.5281/zenodo.1261201,cern.zenodo,Zenodo,2018,Text,"""It'S Shocking!"": Analysing The Impact And Reactions To The A3: Android Apps Behaviour Analyser",Zenodo,2018-06-04T09:59:39Z,2020-09-20T02:35:04Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,14,,repository
10.5281/zenodo.1261200,cern.zenodo,Zenodo,2018,Text,"""It'S Shocking!"": Analysing The Impact And Reactions To The A3: Android Apps Behaviour Analyser",Zenodo,2018-06-04T09:59:40Z,2020-09-20T02:35:04Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,14,,repository
10.5281/zenodo.1420467,cern.zenodo,Zenodo,2018,Software,FQ-CoDel Queue Management Algorithm - Sparse Flow Analysis Software,Zenodo,2018-09-17T15:22:06Z,2023-04-25T23:37:35Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.5281/zenodo.1420466,cern.zenodo,Zenodo,2018,Software,FQ-CoDel Queue Management Algorithm - Sparse Flow Analysis Software,Zenodo,2018-09-17T15:22:07Z,2023-04-25T23:37:36Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.5281/zenodo.1421079,cern.zenodo,Zenodo,2018,Software,tohojo/sqm-scripts: sqm-scripts v1.2.4,Zenodo,2018-09-18T11:25:00Z,2023-08-22T10:18:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,3,,repository
10.5281/zenodo.2556784,cern.zenodo,Zenodo,2019,Dataset,PoliFi: Airtime Policy Enforcement for WiFi,Zenodo,2019-02-04T16:50:23Z,2020-07-29T04:36:46Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,22,23,,https://openalex.org/W2932857208,0,6,6,,repository
10.5281/zenodo.2556783,cern.zenodo,Zenodo,2019,Dataset,PoliFi: Airtime Policy Enforcement for WiFi,Zenodo,2019-02-04T16:50:25Z,2020-07-29T04:36:46Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,,OPEN,22,23,,https://openalex.org/W4393651026,0,0,6,,repository
10.5281/zenodo.2574157,cern.zenodo,Zenodo,2019,Dataset,Web Experience in Mobile Networks: Lessons from Two Million Page Visits,Zenodo,2019-02-20T22:18:18Z,2020-07-29T05:06:08Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,9,16,,https://openalex.org/W4393598979,0,0,11,,repository
10.5281/zenodo.2574156,cern.zenodo,Zenodo,2019,Dataset,Web Experience in Mobile Networks: Lessons from Two Million Page Visits,Zenodo,2019-02-20T22:18:19Z,2020-07-29T05:06:08Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,,OPEN,9,16,,https://openalex.org/W4393757479,0,0,11,,repository
10.25364/05.05:2019.2.2,ugraz.unipub,unipub,2019,Text,Mr Robot: Hacking the Apocalypse,Universität Graz,2019-10-29T12:05:28Z,2020-07-23T18:12:17Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,5,,repository
10.5281/zenodo.3559550,cern.zenodo,Zenodo,2020,Text,(In)escapable Affect? Exploring Factors Influencing Privacy-Related Behavioral Intentions,Zenodo,2019-12-02T09:25:20Z,2020-07-30T10:13:09Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,8,,repository
10.5281/zenodo.3559551,cern.zenodo,Zenodo,2020,Text,(In)escapable Affect? Exploring Factors Influencing Privacy-Related Behavioral Intentions,Zenodo,2019-12-02T09:25:20Z,2020-07-30T10:13:09Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,8,,repository
