doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,clientName,clientType
10.5061/dryad.h122b,dryad.dryad,2013,Dataset,Data from: Hyaluronan and N-ERC/mesothelin as key biomarkers in a specific two-step model to predict pleural malignant mesothelioma,Dryad,0,1,0,1,0,2013-07-15T18:28:41Z,2025-07-21T20:20:23Z,1,1,OPEN,0,2,DRYAD,repository
10.5061/dryad.c6q65,dryad.dryad,2013,Dataset,Data from: Internet-delivered therapist-guided physical activity for mild to moderate depression: a randomized controlled trial,Dryad,0,1,0,1,0,2013-09-18T15:59:20Z,2025-07-22T00:03:00Z,1,1,OPEN,3,9,DRYAD,repository
10.5878/000087,snd.snd,2013,Dataset,Health and working conditions of Swedish school teachers 1978,Karolinska Institutet,1,1,0,0,1,2013-12-17T19:28:45Z,2025-09-22T10:15:53Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000429,snd.snd,2025,Dataset,Effects of a free sabbatical year,Karolinska Institutet,1,1,0,0,1,2013-12-17T19:34:25Z,2025-08-20T07:51:53Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000431,snd.snd,2025,Dataset,REBUS93 - Rehabilitation survey in Stockholm county 1993,Karolinska Institutet,1,1,0,0,1,2013-12-17T19:34:27Z,2025-08-21T14:29:04Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/001615,snd.snd,2013,Dataset,Health and working conditions of Swedish school teachers 1978,Karolinska Institutet,1,1,0,1,0,2013-12-17T19:57:02Z,2025-09-22T08:43:29Z,1,1,,,,Swedish National Data Service,repository
10.5878/001616,snd.snd,2006,Dataset,Effects of a free sabbatical year - Respondents on sabbatical year,Karolinska Institutet,1,1,0,0,0,2013-12-17T19:57:04Z,2025-09-22T09:07:51Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/001617,snd.snd,2013,Dataset,Effects of a free sabbatical year - Effects of a sabbatical year - Substitutes,Karolinska Institutet,1,1,0,0,0,2013-12-17T19:57:05Z,2025-09-22T09:06:31Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/001618,snd.snd,2013,Dataset,Effects of a free sabbatical year - Respondents on sabbatical year,Karolinska Institutet,1,1,0,0,0,2013-12-17T19:57:06Z,2025-08-20T13:22:26Z,1,1,,,,Swedish National Data Service,repository
10.5878/001620,snd.snd,2013,Dataset,Effects of a free sabbatical year - Applied for sabbatical year but not granted,Karolinska Institutet,1,1,0,0,0,2013-12-17T19:57:07Z,2025-09-22T09:06:35Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5281/zenodo.10023,cern.zenodo,2014,Software,License and DOI,Zenodo,0,1,0,1,0,2014-05-21T10:54:54Z,2023-04-25T18:20:00Z,1,,,,,Zenodo,repository
10.5281/zenodo.10506,cern.zenodo,2014,Software,Chanjo - Coverage analysis for clincal sequencing,Zenodo,0,1,0,1,0,2014-06-16T11:13:30Z,2023-04-25T17:35:59Z,1,,,,,Zenodo,repository
10.5061/dryad.c42t7,dryad.dryad,2015,Dataset,Data from: Diagnostic and prognostic value of soluble syndecan-1 for pleural malignancies,Dryad,0,1,0,1,0,2014-07-02T21:56:44Z,2025-07-21T23:55:00Z,1,1,OPEN,0,3,DRYAD,repository
10.5061/dryad.j6g1c,dryad.dryad,2015,Dataset,Data from: Structural alterations of the social brain: a comparison between schizophrenia and autism,Dryad,0,1,0,1,0,2014-07-30T15:00:31Z,2025-07-22T03:48:23Z,1,1,OPEN,3,10,DRYAD,repository
10.5281/zenodo.11887,cern.zenodo,2014,Text,Biomedbridges Project Metrics,Zenodo,0,1,0,1,0,2014-09-26T19:44:24Z,2020-07-26T16:50:53Z,1,,,,,Zenodo,repository
10.5061/dryad.n9v18,dryad.dryad,2014,Dataset,Data from: Social learning of fear and safety is determined by the demonstrator’s racial group,Dryad,0,1,0,1,0,2014-12-18T17:13:31Z,2025-07-21T18:28:10Z,1,1,OPEN,2,4,DRYAD,repository
10.5281/zenodo.14134,cern.zenodo,2015,Text,Definition Of Personalised Data Types Within Biomedbridges,Zenodo,0,1,0,1,0,2015-01-21T16:09:40Z,2020-07-26T20:22:18Z,1,,,,,Zenodo,repository
10.13140/2.1.3181.6486,rg.rg,2015,Text,"Nya sjuksköterskors exponering för höga arbetskrav, låg kontroll och lågt stöd under sina första tre år i yrkeslivet. Rapport B2015:1",Karolinska Institutet,1,0,0,1,0,2015-02-11T10:40:30Z,2025-10-06T11:48:28Z,1,,,,,ResearchGate,repository
10.13140/2.1.3705.9364,rg.rg,2013,Text,Lärares och sjuksköterskors hälsoutveckling och karriärvägar de första åren efter utbildning Rapport B2013:5,Karolinska Institutet,1,0,0,1,0,2015-02-11T10:46:20Z,2025-10-06T11:48:24Z,1,,,,,ResearchGate,repository
10.13140/2.1.1346.6403,rg.rg,2013,Text,A prospective study of changes in burnout and work engagement for beginning teachers,Karolinska Institutet,1,0,0,1,0,2015-02-11T10:50:39Z,2025-10-06T11:48:22Z,1,,,,,ResearchGate,repository
10.13140/2.1.2821.2002,rg.rg,2013,Text,Utbildningens förberedelse av sjuksköterske-studenter för användning av forskningsresultat och tillämpning av evidensbaserad vård – En jämförelse mellan lärosäten,Karolinska Institutet,1,0,0,1,0,2015-02-11T12:32:35Z,2025-10-06T11:47:16Z,1,,,,,ResearchGate,repository
10.13140/2.1.2583.6328,rg.rg,2011,Text,235 röster om ”glappet” - Sjuksköterskors reflektioner om övergången mellan utbildning och yrkesliv 2 år efter sjuksköterskeexamen,Karolinska Institutet,1,0,0,1,0,2015-02-11T12:50:54Z,2025-10-06T11:47:06Z,1,,,,,ResearchGate,repository
10.5281/zenodo.15022,cern.zenodo,2015,Text,Mapping Between Biobank Data Elements,Zenodo,0,1,0,1,0,2015-02-11T13:59:23Z,2020-07-26T21:52:32Z,1,,,,,Zenodo,repository
10.5061/dryad.27h01,dryad.dryad,2015,Dataset,"Data from: Identification of quantitative genetic components of fitness variation in farmed, hybrid and native salmon in the wild",Dryad,0,1,0,1,0,2015-02-11T16:54:39Z,2025-07-22T08:12:43Z,1,1,OPEN,1,2,DRYAD,repository
10.17044/bils/p000002,snd.bils,2015,Dataset,Computational Study of Mammalian Alcohol Dehydrogenase 5 - The Odd Sibling,Karolinska Institutet,1,0,0,1,0,2015-02-16T10:12:48Z,2020-07-26T22:53:03Z,1,,,,,SciLifeLab Data Repository,repository
10.5061/dryad.0g6m2,dryad.dryad,2016,Dataset,Data from: Effect of host plant and immune challenge on the levels of chemosensory and odorant-binding proteins in caterpillar salivary glands,Dryad,0,1,0,1,0,2015-04-23T19:21:09Z,2025-07-22T08:22:26Z,1,1,OPEN,1,2,DRYAD,repository
10.5061/dryad.nb535,dryad.dryad,2015,Dataset,"Data from: The effects of spatial structure, frequency dependence and resistance evolution on the dynamics of toxin-mediated microbial invasions",Dryad,0,1,0,1,0,2015-06-02T20:18:51Z,2025-07-21T21:56:48Z,1,1,OPEN,0,2,DRYAD,repository
10.5061/dryad.v1d06,dryad.dryad,2016,Dataset,Data from: Disruption of memory reconsolidation erases a fear memory trace in the human amygdala: An 18-month follow-up,Dryad,0,1,0,1,0,2015-06-04T15:04:10Z,2025-07-22T08:11:55Z,1,1,OPEN,0,3,DRYAD,repository
10.5061/dryad.2ps14,dryad.dryad,2016,Dataset,Data from: Imposed work of breathing for flow meters with in-line versus flow-through technique during simulated neonatal breathing,Dryad,0,1,0,1,0,2015-07-08T15:21:25Z,2025-07-22T08:29:35Z,1,1,OPEN,0,1,DRYAD,repository
10.5061/dryad.pm7mt,dryad.dryad,2015,Dataset,Data from: Genome-Wide Analyses Suggest Mechanisms Involving Early B-Cell Development in Canine IgA Deficiency,Dryad,0,1,0,1,0,2015-08-24T15:39:45Z,2025-07-21T12:11:14Z,1,1,OPEN,0,2,DRYAD,repository
10.5061/dryad.364pj,dryad.dryad,2015,Dataset,Data from: Flight-induced changes in gene expression in the Glanville fritillary butterfly,Dryad,0,1,0,1,0,2015-08-26T14:43:36Z,2025-07-22T02:24:13Z,1,1,OPEN,1,2,DRYAD,repository
10.5061/dryad.k8hr0,dryad.dryad,2015,Dataset,Data from: A multi-breed genome-wide association analysis for canine hypothyroidism identifies a shared major risk locus on CFA12,Dryad,0,1,0,1,0,2015-08-28T14:21:19Z,2025-07-22T08:32:02Z,1,1,OPEN,1,1,DRYAD,repository
10.5281/zenodo.31045,cern.zenodo,2015,Dataset,Suicidal Ideation Among Sexual And Gender Minorities In Nepal,Zenodo,0,1,0,1,0,2015-09-16T16:11:17Z,2020-09-20T20:26:23Z,1,1,OPEN,0,6,Zenodo,repository
10.5061/dryad.p4s57,dryad.dryad,2016,Dataset,Data from: The constrained maximal expression level owing to haploidy shapes gene content on the mammalian X chromosome,Dryad,0,1,0,1,0,2015-11-04T18:36:43Z,2025-07-21T11:58:42Z,1,1,OPEN,39,2,DRYAD,repository
