doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,titleWordCount,clientName,clientType
10.5878/000162,snd.snd,2008,Dataset,VALU 1991 - SVT exit poll survey parliamentary election 1991,Sveriges Television,0,1,0,0,1,2013-12-17T19:29:57Z,2025-09-22T10:33:50Z,1,1,RESTRICTED,,,10,Swedish National Data Service,repository
10.5878/000251,snd.snd,2008,Dataset,VALU 1994 - SVT exit poll survey parliamentary election 1994,Sveriges Television,0,1,0,0,1,2013-12-17T19:31:24Z,2025-09-22T10:36:31Z,1,1,RESTRICTED,,,10,Swedish National Data Service,repository
10.5878/000340,snd.snd,2008,Dataset,VALU 1998 - SVT exit poll survey parliamentary election 1998,Sveriges Television,0,1,0,0,1,2013-12-17T19:32:53Z,2025-09-22T10:44:06Z,1,1,RESTRICTED,,,10,Swedish National Data Service,repository
10.5878/000383,snd.snd,2014,Dataset,VALU 2002 - SVT exit poll survey parliamentary election 2002,Sveriges Television,0,1,0,0,1,2013-12-17T19:33:38Z,2025-09-22T10:39:28Z,1,1,RESTRICTED,,,10,Swedish National Data Service,repository
10.5878/000439,snd.snd,2014,Dataset,VALU 2006 - SVT exit poll survey parliamentary election 2006,Sveriges Television,0,1,0,0,1,2013-12-17T19:34:35Z,2025-09-22T10:40:57Z,1,1,RESTRICTED,,,10,Swedish National Data Service,repository
10.5878/000476,snd.snd,2014,Dataset,VALU 2010 - SVT exit poll survey parliamentary election 2010,Sveriges Television,0,1,0,0,1,2013-12-17T19:35:14Z,2025-09-22T10:41:39Z,1,1,RESTRICTED,,,10,Swedish National Data Service,repository
10.5878/001513,snd.snd,2008,Dataset,VALU 1998 - SVT exit poll survey parliamentary election 1998,Sveriges Television,0,1,0,1,0,2013-12-17T19:55:11Z,2025-09-22T08:49:15Z,1,1,RESTRICTED,,,10,Swedish National Data Service,repository
10.5878/001519,snd.snd,2008,Dataset,VALU 1994 - SVT exit poll survey parliamentary election 1994,Sveriges Television,0,1,0,1,0,2013-12-17T19:55:19Z,2025-09-22T09:19:48Z,1,1,RESTRICTED,,,10,Swedish National Data Service,repository
10.5878/001520,snd.snd,2008,Dataset,VALU 1991 - SVT exit poll survey parliamentary election 1991,Sveriges Television,0,1,0,1,0,2013-12-17T19:55:20Z,2025-09-22T09:23:51Z,1,1,RESTRICTED,,,10,Swedish National Data Service,repository
10.13140/2.1.3289.4083,rg.rg,2014,Other,TransGovernance Öresund Experiences and future development in transport infrastructure development and governance in the Öresund Region,KTH Royal Institute of Technology,1,0,0,1,0,2014-08-12T13:00:15Z,2025-10-02T07:35:49Z,1,,,,,16,ResearchGate,repository
10.13140/2.1.2240.8326,rg.rg,2014,Other,Vision och verklighet i Öresundssamarbetet,KTH Royal Institute of Technology,1,0,0,1,0,2014-08-12T13:02:16Z,2025-10-02T07:35:47Z,1,,,,,5,ResearchGate,repository
10.5878/002161,snd.snd,2014,Dataset,VALU 2014 - SVT exit poll survey European parliament election 2014,Sveriges Television,0,1,0,0,1,2014-08-19T23:02:52Z,2025-09-22T10:45:38Z,1,1,RESTRICTED,,,11,Swedish National Data Service,repository
10.5878/002162,snd.snd,2014,Dataset,VALU 2014 - SVT exit poll survey European parliament election 2014,Sveriges Television,0,1,0,1,0,2014-08-19T23:02:54Z,2025-09-22T08:58:30Z,1,1,RESTRICTED,,,11,Swedish National Data Service,repository
10.5878/002168,snd.snd,2014,Dataset,VALU 2010 - SVT exit poll survey parliamentary election 2010,Sveriges Television,0,1,0,1,0,2014-09-05T23:06:20Z,2025-09-22T09:10:01Z,1,1,RESTRICTED,,,10,Swedish National Data Service,repository
10.5878/002169,snd.snd,2014,Dataset,VALU 2006 - SVT exit poll survey parliamentary election 2006,Sveriges Television,0,1,0,1,0,2014-09-05T23:06:38Z,2025-09-22T09:41:55Z,1,1,RESTRICTED,,,10,Swedish National Data Service,repository
10.5878/002189,snd.snd,2014,Dataset,VALU 2002 - SVT exit poll survey parliamentary election 2002,Sveriges Television,0,1,0,1,0,2014-09-11T23:03:09Z,2025-09-22T08:47:03Z,1,1,RESTRICTED,,,10,Swedish National Data Service,repository
10.13140/2.1.3664.5120,rg.rg,2011,Text,BYGGSEKTORNS FÖRMÅGOR,KTH Royal Institute of Technology TRITA FOB-Rapport 2011:4,1,0,0,1,0,2014-09-17T15:50:01Z,2025-10-02T03:14:19Z,1,,,,,2,ResearchGate,repository
10.13140/2.1.4684.9286,rg.rg,2011,Other,Analys av smartaelnätsteknologier inom kategorin elnätslösningar,Kungliga Tekniska högskolan,1,0,0,1,0,2014-09-25T08:33:15Z,2025-10-02T02:08:50Z,1,,,,,6,ResearchGate,repository
10.5878/002226,snd.snd,2015,Dataset,VALU 2014 - SVT exit poll survey parliamentary election 2014,Sveriges Television,0,1,0,0,1,2014-10-13T23:03:53Z,2025-09-22T10:45:55Z,1,1,RESTRICTED,,,10,Swedish National Data Service,repository
10.13140/2.1.1310.0480,rg.rg,2014,Text,GROMACS USER MANUAL (Version 5.0-rc1),"Royal Institute of Technology and Uppsala University, Sweden.",1,0,0,1,0,2014-11-05T17:33:50Z,2025-10-02T19:48:41Z,1,,,,,5,ResearchGate,repository
10.7488/ds/75,bl.ed,2014,Sound,Sharvard_IJA,"LISTA Consortium: (i) Language and Speech Laboratory, Universidad del Pais Vasco, Spain and Ikerbasque, Spain; (ii) Centre for Speech Technology Research, University of Edinburgh, UK; (iii) KTH Royal Institute of Technology, Sweden; (iv) Institute of Computer Science, FORTH, Greece",1,0,0,1,0,2014-11-06T12:30:07Z,2023-04-27T16:36:44Z,1,,,,,1,University of Edinburgh,repository
