doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.92p3p,dryad.dryad,DRYAD,2012,Dataset,Data from: Twentieth-century changes in the genetic composition of Swedish field pea metapopulations,Dryad,2012-10-10T15:42:39Z,2025-07-21T20:14:48Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,0,4,,,,,13,,repository
10.5061/dryad.kp79t,dryad.dryad,DRYAD,2012,Dataset,Data from: Cryptic speciation in the field vole: a multilocus approach confirms three highly divergent lineages in Eurasia,Dryad,2012-11-30T18:32:30Z,2025-07-22T09:32:30Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,2,2,,,,,18,,repository
10.5167/uzh-78529,ethz.zora,"Universität Zürich, ZORA",2013,Text,Combining statistical machine translation and translation memories with domain adaptation,Linköping University Electronic Press,2013-06-14T01:02:08Z,2025-03-26T02:02:20Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.5061/dryad.41311,dryad.dryad,DRYAD,2013,Dataset,Data from: Cryptic female choice favours sperm from MHC-dissimilar males,Dryad,2013-08-01T15:16:34Z,2025-07-22T00:58:25Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,0,2,,,,,10,,repository
10.5061/dryad.227qn,dryad.dryad,DRYAD,2014,Dataset,Data from: Social status and personality: stability in social state can promote consistency of behavioural responses,Dryad,2013-10-21T14:13:59Z,2025-07-22T02:00:46Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,2,2,,,,,16,,repository
10.5878/001673,snd.snd,Swedish National Data Service,2014,Dataset,Improved energy efficiency through proposing effective measure from a database - DEFRAM,Linköping University,2014-03-22T00:01:12Z,2025-09-22T10:44:46Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,12,,repository
10.5878/001674,snd.snd,Swedish National Data Service,2014,Dataset,Improved energy efficiency through proposing effective measure from a database - DEFRAM,Linköping University,2014-03-22T00:01:13Z,2025-09-22T08:58:03Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,12,,repository
10.5061/dryad.bs275,dryad.dryad,DRYAD,2014,Dataset,Data from: The role of pleiotropy and linkage in genes affecting a sexual ornament and bone allocation in the chicken,Dryad,2014-04-11T17:38:03Z,2025-07-22T03:51:00Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,5,2,,,,,20,,repository
10.5061/dryad.2cf56,dryad.dryad,DRYAD,2014,Dataset,Data from: Coarse dark patterning functionally constrains adaptive shifts from aposematism to crypsis in strawberry poison frogs,Dryad,2014-06-16T15:59:29Z,2025-07-21T21:21:43Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,0,3,,,,,17,,repository
10.5061/dryad.885g3,dryad.dryad,DRYAD,2015,Dataset,Data from: Personality predicts social dominance in male domestic fowl,Dryad,2014-07-11T14:36:10Z,2025-07-22T02:32:22Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,2,2,,,,,10,,repository
10.5061/dryad.293hd,dryad.dryad,DRYAD,2014,Dataset,Data from: Farmers without borders - genetic structuring in century old barley (Hordeum vulgare),Dryad,2014-08-13T16:47:07Z,2025-07-21T15:37:21Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,5,3,,,,,14,,repository
10.13140/2.1.1366.2081,rg.rg,ResearchGate,2010,Text,Study Circles in Sweden: An Overview with a Bibliography of International Literature,Linköping University Electronic Press,2014-08-28T08:37:16Z,2025-10-02T05:49:52Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,,repository
10.13140/2.1.4511.9368,rg.rg,ResearchGate,2013,Text,Folkbildning för förändring – Dilemman i politiskt mobiliserande didaktik,Linköping University Electronic Press,2014-08-28T08:39:53Z,2025-10-02T05:49:47Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.5281/zenodo.11538,cern.zenodo,Zenodo,2014,Software,First release,Zenodo,2014-08-31T07:35:52Z,2023-04-25T22:18:48Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
