doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,titleWordCount,clientName,clientType
10.5061/dryad.8155,dryad.dryad,2010,Dataset,Data from: All roads lead to home: panmixia of European eel in the Sargasso Sea,Dryad,0,1,0,1,0,2011-11-22T19:10:56Z,2025-07-21T15:46:51Z,1,1,OPEN,1,6,15,DRYAD,repository
10.5061/dryad.8p2f7,dryad.dryad,2012,Dataset,Data from: Marked host specificity and lack of phylogeographic population structure of Campylobacter jejuni in wild birds,Dryad,0,1,0,1,0,2012-11-01T16:50:52Z,2025-07-22T07:17:07Z,1,1,OPEN,2,3,17,DRYAD,repository
10.5061/dryad.mf3gd,dryad.dryad,2013,Dataset,Data from: Genetic consequences of breaking migratory traditions in barnacle geese Branta leucopsis,Dryad,0,1,0,1,0,2013-10-22T18:02:32Z,2025-07-21T13:08:48Z,1,1,OPEN,13,3,13,DRYAD,repository
10.5878/000351,snd.snd,1992,Dataset,Media panel 1976,Linnaeus University,1,0,0,0,1,2013-12-17T19:33:04Z,2025-09-22T10:39:42Z,1,,,,,3,Swedish National Data Service,repository
10.5878/000352,snd.snd,2008,Dataset,Songs in school broadcasting 1934-1969,Linnaeus University,1,0,0,0,1,2013-12-17T19:33:05Z,2025-09-22T10:11:25Z,1,,,,,5,Swedish National Data Service,repository
10.5878/000466,snd.snd,2009,Dataset,About structured questions and reliable answers in abuse and dependency care - a reliability study of the interview method DOK,Linnaeus University,1,1,0,0,1,2013-12-17T19:35:04Z,2025-09-22T10:00:59Z,1,1,RESTRICTED,,,20,Swedish National Data Service,repository
10.7910/dvn/27181,gdcc.harvard-dv,2014,Dataset,Replication data for: The Effect of Schooling on Cognitive Skills,Harvard Dataverse,0,1,0,1,0,2014-09-09T15:45:37Z,2025-06-03T11:37:29Z,1,1,OPEN,,,10,Harvard Dataverse,repository
10.13140/2.1.2139.7762,rg.rg,2013,Text,The Eight-Step Change Model in Practice: A Case Study on Ericsson,Linnaeus University,1,0,0,1,0,2014-09-19T09:36:03Z,2025-10-02T02:59:03Z,1,,,,,11,ResearchGate,repository
10.13140/2.1.2926.2088,rg.rg,2014,Text,E-Business – Open Source eCommerce Platforms,Linnaeus University,1,0,0,1,0,2014-09-19T09:44:54Z,2025-10-02T02:58:49Z,1,,,,,6,ResearchGate,repository
10.13140/2.1.4368.0006,rg.rg,2014,Text,"E-supply Chains, Collaborative Commerce and Corporate Portals",Linnaeus University,1,0,0,1,0,2014-09-19T09:47:31Z,2025-10-02T02:58:37Z,1,,,,,7,ResearchGate,repository
10.5878/002581,snd.snd,2009,Dataset,About structured questions and reliable answers in abuse and dependency care - a reliability study of the interview method DOK,Linnaeus University,1,1,0,1,0,2015-01-21T00:01:32Z,2025-09-22T08:40:50Z,1,1,,,,20,Swedish National Data Service,repository
10.5061/dryad.39tg5,dryad.dryad,2016,Dataset,"Data from: Causes and consequences of repeatability, flexibility and individual fine-tuning of migratory timing in pike",Dryad,0,1,0,1,0,2015-07-28T17:31:42Z,2025-07-21T19:12:35Z,1,1,OPEN,0,1,16,DRYAD,repository
10.5061/dryad.dn0qk,dryad.dryad,2015,Dataset,Data from: Is colour polymorphism advantageous to populations and species?,Dryad,0,1,0,1,0,2015-10-29T13:40:36Z,2025-07-22T02:04:51Z,1,1,OPEN,0,2,10,DRYAD,repository
10.5061/dryad.gr6t5,dryad.dryad,2017,Dataset,Data from: Testing for local adaptation to spawning habitat in sympatric subpopulations of pike by reciprocal translocation of embryos,Dryad,0,1,0,1,0,2016-04-19T16:13:22Z,2025-07-21T19:56:45Z,1,1,OPEN,0,3,19,DRYAD,repository
