doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.13140/rg.2.2.10508.31369,rg.rg,ResearchGate,2016,Text,"Making an upcycling station. Makers’ culture, cross-sector collaborations and citizens’ participation for new services and practices within waste handling.",Malmö University,2016-11-15T08:38:43Z,2025-10-15T16:29:16Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,19,,repository
10.5281/zenodo.1250782,cern.zenodo,Zenodo,2015,Text,Joystick: Co-Creation With A Gaming Community,Zenodo,2018-05-22T11:51:42Z,2020-09-20T02:20:24Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.5281/zenodo.1250781,cern.zenodo,Zenodo,2015,Text,Joystick: Co-Creation With A Gaming Community,Zenodo,2018-05-22T11:51:43Z,2020-09-20T02:20:24Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.7910/dvn/ittzr0,gdcc.harvard-dv,Harvard Dataverse,2019,Dataset,Replication Data for: Winner Prediction of Blood Bowl 2 Matches with Binary Classification,Harvard Dataverse,2019-06-08T19:50:33Z,2025-06-02T10:43:40Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,,,,https://openalex.org/W4398399187,0,0,13,,repository
10.13140/rg.2.2.22775.57768,rg.rg,ResearchGate,2019,Text,Digitaliseringens möjligheter för ökat medborgardeltagande i planeringen,Malmö University,2019-09-12T06:47:21Z,2025-10-17T14:18:49Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,7,,repository
10.5281/zenodo.3518161,cern.zenodo,Zenodo,2019,Text,"Sustaining Authoritarianism Clientelism and Repression in Kazakhstan, Kenya, Kyrgyzstan and Tanzania",Zenodo,2019-10-24T13:06:41Z,2020-07-30T07:24:48Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,11,,repository
10.5281/zenodo.3518160,cern.zenodo,Zenodo,2019,Text,"Sustaining Authoritarianism Clientelism and Repression in Kazakhstan, Kenya, Kyrgyzstan and Tanzania",Zenodo,2019-10-24T13:06:42Z,2020-07-30T07:24:48Z,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,11,,repository
10.17613/rwr3-0160,msu.core,Knowledge Commons Works,2013,JournalArticle,Art as participatory methodology,Malmö University Electronic Publishin,2020-03-28T12:01:23Z,2024-11-19T04:57:27Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,4,,repository
10.5281/zenodo.3755257,cern.zenodo,Zenodo,2020,Dataset,Analyzed papers in an open IoT platform systematic mapping study,Zenodo,2020-04-17T06:57:41Z,2020-08-01T17:38:26Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,2,7,,https://openalex.org/W4393471103,0,0,10,,repository
10.5281/zenodo.3755256,cern.zenodo,Zenodo,2020,Dataset,Analyzed papers in an open IoT platform systematic mapping study,Zenodo,2020-04-17T06:57:43Z,2020-08-01T17:38:26Z,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,2,7,,https://openalex.org/W4393819673,0,0,10,,repository
