doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.13140/2.1.2485.8884,rg.rg,ResearchGate,2014,Text,Wal-Mart’s German Misadventure,Mälardalen University College,2014-09-21T10:29:37Z,2025-10-02T02:45:49Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,3,,repository
10.13140/rg.2.1.1732.4000,rg.rg,ResearchGate,2015,Other,WRITING REFERENCES ACCORDING TO THE APA-STYLE About referencing in academic writing in social work Osman Aytar &amp; Elinor Brunnberg,Mälardalen University,2015-09-13T19:31:36Z,2025-10-08T10:40:53Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,19,,repository
10.13140/rg.2.1.2780.9768,rg.rg,ResearchGate,2015,Other,ATT SKRIVA REFERENSER ENLIGT APA-STILEN Om referenshantering i akademiskt skrivande inom socialt arbete Osman Aytar &amp; Elinor Brunnberg,Mälardalen University,2015-09-13T19:38:05Z,2025-10-08T10:40:53Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,18,,repository
10.14279/tuj.eceasst.50.738,tib.tub,Technische Universität Berlin – Universitätsbibliothek,2012,JournalArticle,A hybrid approach for multi-view modeling,Electronic Communications of the EASST,2015-11-03T13:09:19Z,2024-04-05T14:36:56Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.14279/tuj.eceasst.50.738.747,tib.tub,Technische Universität Berlin – Universitätsbibliothek,2012,JournalArticle,A hybrid approach for multi-view modeling,Electronic Communications of the EASST,2015-11-04T08:32:00Z,2024-04-05T14:51:31Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.13140/rg.2.2.11495.44963,rg.rg,ResearchGate,2014,Text,Midterm output report - Pilot B in Sweden,Mälardalen University,2016-12-08T06:36:46Z,2025-10-15T17:27:00Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,8,,repository
10.4230/lites-v004-i002-a003,lzi.drops,Dagstuhl Research Online Publication Server,2018,JournalArticle,Per Processor Spin-Based Protocols for Multiprocessor Real-Time Systems,Schloss Dagstuhl – Leibniz-Zentrum für Informatik,2018-01-08T10:21:49Z,2024-03-12T10:53:23Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,8,,repository
10.5281/zenodo.1204595,cern.zenodo,Zenodo,2018,Dataset,Data Set Used In Combinatorial Modeling And Test Case Generation For Industrial Control Software Using Acts,Zenodo,2018-03-20T20:03:14Z,2020-09-20T00:25:36Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,8,7,,https://openalex.org/W4393487723,0,0,16,,repository
10.5281/zenodo.1204594,cern.zenodo,Zenodo,2018,Dataset,Data Set Used In Combinatorial Modeling And Test Case Generation For Industrial Control Software Using Acts,Zenodo,2018-03-20T20:03:15Z,2020-09-20T00:25:36Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,,OPEN,8,7,,https://openalex.org/W4393740387,0,0,16,,repository
10.14279/tuj.eceasst.75.1054,tib.tub,Technische Universität Berlin – Universitätsbibliothek,2018,JournalArticle,Model-Checking-based vs. SMT-based Consistency Analysis of Industrial Embedded Systems Requirements: Application and Experience,Electronic Communications of the EASST,2018-10-17T14:12:44Z,2024-04-05T14:47:14Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,13,,repository
10.14279/tuj.eceasst.75.1054.1033,tib.tub,Technische Universität Berlin – Universitätsbibliothek,2018,JournalArticle,Model-Checking-based vs. SMT-based Consistency Analysis of Industrial Embedded Systems Requirements: Application and Experience,Electronic Communications of the EASST,2018-10-17T14:12:48Z,2024-04-05T14:47:14Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,13,,repository
10.5281/zenodo.2635571,cern.zenodo,Zenodo,2019,Software,Software Artifacts for Performance Feedback Autoscaling Experiments with Workloads of Workflows in Apache Airflow,Zenodo,2019-04-10T15:21:17Z,2023-04-25T22:06:51Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,14,,repository
10.5281/zenodo.2635570,cern.zenodo,Zenodo,2019,Software,Software Artifacts for Performance Feedback Autoscaling Experiments with Workloads of Workflows in Apache Airflow,Zenodo,2019-04-10T15:21:19Z,2023-04-25T22:06:51Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,14,,repository
10.5281/zenodo.2635573,cern.zenodo,Zenodo,2019,Dataset,Computational Artifacts for Performance Feedback Autoscaling Experiments with Workloads of Workflows in Apache Airflow,Zenodo,2019-04-10T17:39:32Z,2020-07-29T07:52:55Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,4,8,,https://openalex.org/W4394037331,0,0,14,,repository
10.5281/zenodo.2635572,cern.zenodo,Zenodo,2019,Dataset,Computational Artifacts for Performance Feedback Autoscaling Experiments with Workloads of Workflows in Apache Airflow,Zenodo,2019-04-10T17:39:33Z,2020-07-29T07:52:55Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,,OPEN,4,8,,https://openalex.org/W4393722898,0,0,14,,repository
10.18726/2019_2,tib.ubunibwm,Universität der Bundeswehr München,2019,Text, Human Behaviour in Design,"Institut für Technische Produktentwicklung, Universität der Bundeswehr München",2019-05-29T13:54:06Z,2020-07-23T17:40:54Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,4,,repository
10.5281/zenodo.3473470,cern.zenodo,Zenodo,2017,Text,An Energy-aware Mutation Testing Framework for EAST-ADL Architectural Models,Zenodo,2019-10-04T18:31:19Z,2020-07-30T05:49:53Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
