doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.7fd7p,dryad.dryad,DRYAD,2015,Dataset,Data from: Edge influence on vegetation at natural and anthropogenic edges of boreal forests in Canada and Fennoscandia,Dryad,2015-03-23T14:59:44Z,2025-07-21T14:57:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,2,14,,,,,18,,repository
10.5281/zenodo.60681,cern.zenodo,Zenodo,2016,Dataset,Raw Measurements For Low Delay Video Streaming On The Internet Of Things Using Raspberry Pi,Zenodo,2016-08-23T08:46:43Z,2020-09-20T20:26:48Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,0,7,,https://openalex.org/W2510471554,1,0,15,,repository
10.13140/rg.2.2.16864.89608,rg.rg,ResearchGate,2016,Other,Konstgödning: Co-producing Art in the Outskirts of the World,"ETOUR, Mid Sweden University",2016-09-04T10:14:55Z,2025-10-09T14:49:30Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.5061/dryad.218n0,dryad.dryad,DRYAD,2018,Dataset,Data from: Informative plot sizes in presence-absence sampling of forest floor vegetation,Dryad,2017-01-25T08:10:02Z,2025-07-22T01:00:45Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,1,3,,,,,12,,repository
10.5061/dryad.v54v8,dryad.dryad,DRYAD,2018,Dataset,Data from: A Drosophila female pheromone elicits species-specific long-range attraction via an olfactory channel with dual specificity for sex and food,Dryad,2017-09-12T13:06:21Z,2025-07-21T21:18:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,2,3,,,,,21,,repository
10.5061/dryad.g2t6204,dryad.dryad,DRYAD,2019,Dataset,Data from: Impacts of dead-wood manipulation on the biodiversity of temperate and boreal forests - A systematic review,Dryad,2019-03-26T17:43:01Z,2025-07-22T08:44:21Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,0,2,,,,,18,,repository
10.21227/nf2s-h782,ieee.dataport,IEEE DataPort,2019,Dataset,Are1819,IEEE DataPort,2019-07-14T23:00:35Z,2020-07-29T20:37:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,1,,repository
10.21227/e33q-2349,ieee.dataport,IEEE DataPort,2019,Dataset,Are1819,IEEE DataPort,2019-07-14T23:00:36Z,2020-07-29T20:37:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,1,,repository
10.5061/dryad.nvx0k6dn1,dryad.dryad,DRYAD,2020,Dataset,Presence-absence sampling for estimating plant density using survey data with variable plot size,Dryad,2019-11-18T17:46:29Z,2025-07-22T12:30:41Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,0,3,,,,,13,,repository
10.5061/dryad.zgmsbcc6t,dryad.dryad,DRYAD,2020,Dataset,Data from: Estimating density from presence/absence data in clustered populations,Dryad,2020-01-06T15:38:16Z,2025-07-22T14:07:03Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,0,2,,,,,10,,repository
