doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.1d8761h1,dryad.dryad,DRYAD,2011,Dataset,Data from: Evolution of stenophagy in spiders (Araneae): evidence based on the comparative analysis of spider diets,Dryad,2011-09-19T15:47:42Z,2025-07-21T19:25:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,,repository
10.5061/dryad.829,dryad.dryad,DRYAD,2009,Dataset,Data from: Assessing Progress in Systematics with Continuous Jackknife Function Analysis,Dryad,2011-11-22T18:10:00Z,2025-07-22T02:22:24Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,11,,repository
10.5061/dryad.8f3bk,dryad.dryad,DRYAD,2011,Dataset,Data from: Molecular data and ploidal levels indicate several putative allopolyploidization events in the genus Potentilla (Rosaceae),Dryad,2011-11-22T18:35:53Z,2025-07-21T16:01:54Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,4,2,,,,,17,,repository
10.5061/dryad.8720,dryad.dryad,DRYAD,2011,Dataset,Data from: Molecular detection of trophic links in a complex insect host-parasitoid food web,Dryad,2011-11-22T18:45:44Z,2025-07-22T08:24:11Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,14,,repository
10.5061/dryad.v1pr721v,dryad.dryad,DRYAD,2012,Dataset,Data from: Divergence estimates and early evolutionary history of Figitidae (Hymenoptera: Cynipoidea),Dryad,2011-11-30T18:23:43Z,2025-07-21T16:44:59Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,,repository
10.5061/dryad.1rk18128,dryad.dryad,DRYAD,2012,Dataset,Data from: Population divergence and gene flow in an endangered and highly mobile seabird,Dryad,2012-01-30T19:50:51Z,2025-07-21T22:26:57Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,14,,repository
10.5061/dryad.9gc21,dryad.dryad,DRYAD,2012,Dataset,Data from: Patterns and controlling factors of species diversity in the Arctic Ocean,Dryad,2012-05-08T20:01:08Z,2025-07-22T03:28:23Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,13,,repository
10.5061/dryad.j2r64,dryad.dryad,DRYAD,2012,Dataset,"Data from: A total-evidence approach to dating with fossils, applied to the early radiation of the Hymenoptera",Dryad,2012-06-28T18:27:53Z,2025-07-22T09:23:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,1,2,,,,,17,,repository
10.5061/dryad.h6pf365t,dryad.dryad,DRYAD,2012,Dataset,Data from: Sharing and re-use of phylogenetic trees (and associated data) to facilitate synthesis,Dryad,2012-08-14T20:54:46Z,2025-07-21T16:52:26Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,14,,repository
10.1594/pangaea.789039,pangaea.repository,PANGAEA,2012,Dataset,Neodymium measured on water bottle samples during POLARSTERN cruise ARK-XXII/2 (SPACE),PANGAEA,2012-10-24T03:07:34Z,2024-06-26T04:39:55Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,11,,repository
