doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,titleWordCount,clientName,clientType
10.5281/zenodo.10768,cern.zenodo,2010,Software,PanelCheck,Zenodo,0,1,0,1,0,2014-07-05T15:16:17Z,2023-04-25T15:34:52Z,1,,,,,1,Zenodo,repository
10.5281/zenodo.22194,cern.zenodo,2015,Software,sonic-pi: v2.6.0 - Algorave,Zenodo,0,1,0,1,0,2015-07-30T14:05:50Z,2023-04-25T16:47:23Z,1,,,,,4,Zenodo,repository
10.5281/zenodo.30819,cern.zenodo,2015,Software,sonic-pi: v2.7.0 - Rerezzed,Zenodo,0,1,0,1,0,2015-09-11T09:57:06Z,2023-04-25T16:46:46Z,1,,,,,4,Zenodo,repository
10.5281/zenodo.34064,cern.zenodo,2015,Software,sonic-pi: v2.8.0 - Karlsruhe,Zenodo,0,1,0,1,0,2015-11-20T15:38:37Z,2023-04-25T16:57:43Z,1,,,,,4,Zenodo,repository
10.5281/zenodo.34066,cern.zenodo,2015,Software,sonic-pi: v2.8.0 - Karlsruhe,Zenodo,0,1,0,1,0,2015-11-20T16:39:57Z,2023-04-25T16:47:19Z,1,,,,,4,Zenodo,repository
10.5281/zenodo.34075,cern.zenodo,2015,Software,sonic-pi: v2.8.0 - Karlsruhe,Zenodo,0,1,0,1,0,2015-11-20T22:26:22Z,2023-04-25T16:47:33Z,1,,,,,4,Zenodo,repository
10.5281/zenodo.44214,cern.zenodo,2015,Software,sonic-pi: v2.9.0 - Venster,Zenodo,0,1,0,1,0,2016-01-01T03:36:43Z,2023-04-25T16:46:44Z,1,,,,,4,Zenodo,repository
10.6092/unibo/amsacta/5691,crui.unibo,2017,Dataset,"CATCH-EyoU: Processes in Youth’s Construction of Active EU Citizenship: Cross-national Wave 1 Questionnaires: Italy, Sweden, Germany, Greece, Portugal, Czech Republic, UK, and Estonia – EXTRACT",Alma Mater Studiorum - Università di Bologna,0,0,1,1,0,2017-09-05T19:10:03Z,2020-09-19T00:17:53Z,1,1,OPEN,3,5,25,Università degli Studi di Bologna,repository
10.5281/zenodo.892062,cern.zenodo,2017,JournalArticle,Sketch maps dataset,Zenodo,0,1,0,1,0,2017-09-15T10:02:15Z,2024-04-23T19:26:50Z,1,,,,,3,Zenodo,repository
10.5281/zenodo.892061,cern.zenodo,2017,JournalArticle,Sketch maps dataset,Zenodo,0,1,0,0,1,2017-09-15T10:02:16Z,2024-04-23T19:26:50Z,1,,,,,3,Zenodo,repository
10.5281/zenodo.893154,cern.zenodo,2017,Dataset,Novel Radar,Zenodo,0,1,0,1,0,2017-09-16T04:04:26Z,2020-09-19T00:46:19Z,1,1,OPEN,2,18,2,Zenodo,repository
10.5281/zenodo.893153,cern.zenodo,2017,Dataset,Novel Radar,Zenodo,0,1,0,0,1,2017-09-16T04:04:27Z,2020-09-19T00:46:19Z,1,1,OPEN,2,18,2,Zenodo,repository
