doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,clientName,clientType
10.5061/dryad.504636cd,dryad.dryad,2012,Dataset,Data from: First dating of a recombination event in mammalian tick-borne flaviviruses,Dryad,0,1,0,1,0,2012-01-26T16:14:49Z,2025-07-22T09:27:57Z,1,1,OPEN,0,2,DRYAD,repository
10.5878/000373,snd.snd,2002,Dataset,Democracy and Social Transition in the Baltic Sea Region - Estonia 1999,Södertörns högskola,1,1,0,0,1,2013-12-17T19:33:28Z,2025-09-22T10:30:08Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/000486,snd.snd,2011,Dataset,The Comparative Parliamentary Democracy Data Archive,Södertörns högskola,1,0,0,0,1,2013-12-17T19:35:24Z,2025-09-22T10:30:22Z,1,,,,,Swedish National Data Service,repository
10.13140/2.1.2851.3927,rg.rg,2011,Other,Towards responsible procurement in relation to chemical risks in textiles? Findings from an interview study.,Södertörn University,1,0,0,1,0,2014-07-04T12:41:33Z,2025-09-30T19:23:54Z,1,,,,,ResearchGate,repository
10.5878/002571,snd.snd,2011,Dataset,The Comparative Parliamentary Democracy Data Archive,Södertörns högskola,1,0,0,1,0,2015-01-14T00:01:44Z,2025-09-22T09:25:54Z,1,,,,,Swedish National Data Service,repository
10.13140/rg.2.1.2455.9525,rg.rg,2015,article,Coping and adaptation in socio-ecological problem structures: Towards an integrated framework for analyzing trans-boundary environmental problems in marine settings,Södertörn University,1,0,0,1,0,2015-05-26T09:20:16Z,2020-08-19T19:52:34Z,1,,,,,ResearchGate,repository
10.13140/rg.2.1.1740.8728,rg.rg,2015,article,"ENVIRONMENTAL GOVERNANCE IN AN INCREASINGLY COMPLEX WORLD: An Interdisciplinary Exchange on Adaptation, Collaborative Learning and Knowledge Integration",Södertörn University,1,0,0,1,0,2015-10-14T08:54:09Z,2020-08-19T21:04:19Z,1,,,,,ResearchGate,repository
10.13140/rg.2.1.2066.0562,rg.rg,2015,article,Social competitive intelligence: Socio-technical themes and values for the networking organization,Södertörn university,1,0,0,1,0,2015-11-26T10:07:33Z,2020-08-19T21:52:33Z,1,,,,,ResearchGate,repository
10.13140/rg.2.1.3647.8801,rg.rg,2002,Text,Cooperation or Competition? A Juxtaposition of Research Problems Regarding Security in the Baltic Sea Region.,Södertörns högskola,1,0,0,1,0,2015-12-15T01:30:32Z,2020-08-19T21:59:03Z,1,,,,,ResearchGate,repository
10.13140/rg.2.1.3721.8961,rg.rg,2016,article,CoCI: Collaborative support of social competitive intelligence,Södertörn university,1,0,0,1,0,2016-03-10T11:05:44Z,2020-09-18T09:31:30Z,1,,,,,ResearchGate,repository
