doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.6084/m9.figshare.19349324,figshare.ars,figshare Academic Research System,2022,Text,"<i>Like I said, I would not have likely gotten up otherwise:</i> patient experiences of using an Activity Board after abdominal cancer surgery",Taylor & Francis,2022-03-11T20:40:03Z,2023-02-27T10:40:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,22,10.1080/09638288.2022.2048097,repository
10.6084/m9.figshare.19349324.v1,figshare.ars,figshare Academic Research System,2022,Text,"<i>Like I said, I would not have likely gotten up otherwise:</i> patient experiences of using an Activity Board after abdominal cancer surgery",Taylor & Francis,2022-03-11T20:40:03Z,2023-02-27T10:40:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,22,10.1080/09638288.2022.2048097,repository
10.6084/m9.figshare.c.5957030,figshare.ars,figshare Academic Research System,2022,Collection,Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:31:01Z,2022-04-21T07:31:03Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,13,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.c.5957030.v1,figshare.ars,figshare Academic Research System,2022,Collection,Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:31:02Z,2022-04-21T07:31:05Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,13,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625594,figshare.ars,figshare Academic Research System,2022,Text,Additional file 1 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:12Z,2022-04-21T07:32:25Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625594.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 1 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:13Z,2022-04-21T07:32:25Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625597,figshare.ars,figshare Academic Research System,2022,Text,Additional file 2 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:13Z,2022-04-21T07:32:27Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625597.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 2 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:13Z,2022-04-21T07:32:26Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625600,figshare.ars,figshare Academic Research System,2022,Text,Additional file 3 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:15Z,2022-04-21T07:32:27Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625600.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 3 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:16Z,2022-04-21T07:32:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625603,figshare.ars,figshare Academic Research System,2022,Text,Additional file 4 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:17Z,2022-04-21T07:32:30Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625603.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 4 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:17Z,2022-04-21T07:32:29Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625606,figshare.ars,figshare Academic Research System,2022,Text,Additional file 5 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:17Z,2022-04-21T07:32:31Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625606.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 5 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:17Z,2022-04-21T07:32:31Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625609,figshare.ars,figshare Academic Research System,2022,Text,Additional file 6 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:20Z,2022-04-21T07:32:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625609.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 6 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:20Z,2022-04-21T07:32:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625612,figshare.ars,figshare Academic Research System,2022,Text,Additional file 7 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:21Z,2022-04-21T07:32:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625612.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 7 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:21Z,2022-04-21T07:32:32Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625615,figshare.ars,figshare Academic Research System,2022,Text,Additional file 8 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:21Z,2022-04-21T07:32:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.19625615.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 8 of Physical activity in early childhood: a five-year longitudinal analysis of patterns and correlates,figshare,2022-04-21T07:32:22Z,2022-04-21T07:32:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,17,10.1186/s12966-022-01289-x,repository
10.6084/m9.figshare.c.5999773,figshare.ars,figshare Academic Research System,2022,Collection,Manual therapy versus advice to stay active for nonspecific back and/or neck pain: a cost-effectiveness analysis,figshare,2022-05-17T06:14:11Z,2022-05-17T06:14:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,10.1186/s12998-022-00431-7,repository
10.6084/m9.figshare.c.5999773.v1,figshare.ars,figshare Academic Research System,2022,Collection,Manual therapy versus advice to stay active for nonspecific back and/or neck pain: a cost-effectiveness analysis,figshare,2022-05-17T06:14:11Z,2022-05-17T06:14:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,10.1186/s12998-022-00431-7,repository
10.6084/m9.figshare.19778278,figshare.ars,figshare Academic Research System,2022,Dataset,Additional file 1 of Manual therapy versus advice to stay active for nonspecific back and/or neck pain: a cost-effectiveness analysis,figshare,2022-05-17T06:16:43Z,2022-05-17T06:16:50Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,1,,,,,,https://openalex.org/W4394544983,0,0,20,10.1186/s12998-022-00431-7,repository
10.6084/m9.figshare.19778278.v1,figshare.ars,figshare Academic Research System,2022,Dataset,Additional file 1 of Manual therapy versus advice to stay active for nonspecific back and/or neck pain: a cost-effectiveness analysis,figshare,2022-05-17T06:16:43Z,2022-05-17T06:16:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,20,10.1186/s12998-022-00431-7,repository
10.6084/m9.figshare.19778281,figshare.ars,figshare Academic Research System,2022,Dataset,Additional file 2 of Manual therapy versus advice to stay active for nonspecific back and/or neck pain: a cost-effectiveness analysis,figshare,2022-05-17T06:16:45Z,2022-05-17T06:16:49Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,1,,,,,,https://openalex.org/W4394277060,0,0,20,10.1186/s12998-022-00431-7,repository
10.6084/m9.figshare.19778281.v1,figshare.ars,figshare Academic Research System,2022,Dataset,Additional file 2 of Manual therapy versus advice to stay active for nonspecific back and/or neck pain: a cost-effectiveness analysis,figshare,2022-05-17T06:16:46Z,2022-05-17T06:16:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,20,10.1186/s12998-022-00431-7,repository
10.6084/m9.figshare.c.6050822,figshare.ars,figshare Academic Research System,2022,Collection,Lifestyle behaviors in Swedish university students before and during the first six months of the COVID-19 pandemic: a cohort study,figshare,2022-06-17T03:26:45Z,2022-06-17T03:26:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,20,10.1186/s12889-022-13553-7,repository
10.6084/m9.figshare.c.6050822.v1,figshare.ars,figshare Academic Research System,2022,Collection,Lifestyle behaviors in Swedish university students before and during the first six months of the COVID-19 pandemic: a cohort study,figshare,2022-06-17T03:26:47Z,2022-06-17T03:26:51Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,20,10.1186/s12889-022-13553-7,repository
10.6084/m9.figshare.20086178,figshare.ars,figshare Academic Research System,2022,Text,Additional file 1 of Lifestyle behaviors in Swedish university students before and during the first six months of the COVID-19 pandemic: a cohort study,figshare,2022-06-17T03:28:32Z,2022-06-17T03:28:36Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,24,10.1186/s12889-022-13553-7,repository
10.6084/m9.figshare.20086178.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 1 of Lifestyle behaviors in Swedish university students before and during the first six months of the COVID-19 pandemic: a cohort study,figshare,2022-06-17T03:28:32Z,2022-06-17T03:28:36Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,24,10.1186/s12889-022-13553-7,repository
10.6084/m9.figshare.c.6096760,figshare.ars,figshare Academic Research System,2022,Collection,The Effect of Shoulder and Knee Exercise Programmes on the Risk of Shoulder and Knee Injuries in Adolescent Elite Handball Players: A Three-Armed Cluster Randomised Controlled Trial,figshare,2022-07-15T07:54:42Z,2022-07-15T07:54:45Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,27,10.1186/s40798-022-00478-z,repository
10.6084/m9.figshare.c.6096760.v1,figshare.ars,figshare Academic Research System,2022,Collection,The Effect of Shoulder and Knee Exercise Programmes on the Risk of Shoulder and Knee Injuries in Adolescent Elite Handball Players: A Three-Armed Cluster Randomised Controlled Trial,figshare,2022-07-15T07:54:43Z,2022-07-15T07:54:46Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,27,10.1186/s40798-022-00478-z,repository
10.6084/m9.figshare.20317483,figshare.ars,figshare Academic Research System,2022,Text,Additional file 1 of The Effect of Shoulder and Knee Exercise Programmes on the Risk of Shoulder and Knee Injuries in Adolescent Elite Handball Players: A Three-Armed Cluster Randomised Controlled Trial,figshare,2022-07-15T07:54:56Z,2022-07-15T07:55:06Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,31,10.1186/s40798-022-00478-z,repository
10.6084/m9.figshare.20317483.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 1 of The Effect of Shoulder and Knee Exercise Programmes on the Risk of Shoulder and Knee Injuries in Adolescent Elite Handball Players: A Three-Armed Cluster Randomised Controlled Trial,figshare,2022-07-15T07:54:56Z,2022-07-15T07:55:06Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,31,10.1186/s40798-022-00478-z,repository
10.6084/m9.figshare.20317486,figshare.ars,figshare Academic Research System,2022,Text,Additional file 2 of The Effect of Shoulder and Knee Exercise Programmes on the Risk of Shoulder and Knee Injuries in Adolescent Elite Handball Players: A Three-Armed Cluster Randomised Controlled Trial,figshare,2022-07-15T07:54:56Z,2022-07-15T07:55:07Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,31,10.1186/s40798-022-00478-z,repository
10.6084/m9.figshare.20317486.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 2 of The Effect of Shoulder and Knee Exercise Programmes on the Risk of Shoulder and Knee Injuries in Adolescent Elite Handball Players: A Three-Armed Cluster Randomised Controlled Trial,figshare,2022-07-15T07:54:57Z,2022-07-15T07:55:07Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,31,10.1186/s40798-022-00478-z,repository
10.6084/m9.figshare.20317489,figshare.ars,figshare Academic Research System,2022,Text,Additional file 3 of The Effect of Shoulder and Knee Exercise Programmes on the Risk of Shoulder and Knee Injuries in Adolescent Elite Handball Players: A Three-Armed Cluster Randomised Controlled Trial,figshare,2022-07-15T07:54:58Z,2022-07-15T07:55:08Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,31,10.1186/s40798-022-00478-z,repository
10.6084/m9.figshare.20317489.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 3 of The Effect of Shoulder and Knee Exercise Programmes on the Risk of Shoulder and Knee Injuries in Adolescent Elite Handball Players: A Three-Armed Cluster Randomised Controlled Trial,figshare,2022-07-15T07:54:58Z,2022-07-15T07:55:07Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,31,10.1186/s40798-022-00478-z,repository
10.6084/m9.figshare.20317492,figshare.ars,figshare Academic Research System,2022,Text,Additional file 4 of The Effect of Shoulder and Knee Exercise Programmes on the Risk of Shoulder and Knee Injuries in Adolescent Elite Handball Players: A Three-Armed Cluster Randomised Controlled Trial,figshare,2022-07-15T07:55:01Z,2022-07-15T07:55:07Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,31,10.1186/s40798-022-00478-z,repository
10.6084/m9.figshare.20317492.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 4 of The Effect of Shoulder and Knee Exercise Programmes on the Risk of Shoulder and Knee Injuries in Adolescent Elite Handball Players: A Three-Armed Cluster Randomised Controlled Trial,figshare,2022-07-15T07:55:01Z,2022-07-15T07:55:08Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,31,10.1186/s40798-022-00478-z,repository
10.6084/m9.figshare.20317495,figshare.ars,figshare Academic Research System,2022,Text,Additional file 5 of The Effect of Shoulder and Knee Exercise Programmes on the Risk of Shoulder and Knee Injuries in Adolescent Elite Handball Players: A Three-Armed Cluster Randomised Controlled Trial,figshare,2022-07-15T07:55:05Z,2022-07-15T07:55:09Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,31,10.1186/s40798-022-00478-z,repository
10.6084/m9.figshare.20317495.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 5 of The Effect of Shoulder and Knee Exercise Programmes on the Risk of Shoulder and Knee Injuries in Adolescent Elite Handball Players: A Three-Armed Cluster Randomised Controlled Trial,figshare,2022-07-15T07:55:05Z,2022-07-15T07:55:10Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,31,10.1186/s40798-022-00478-z,repository
10.6084/m9.figshare.c.6127666,figshare.ars,figshare Academic Research System,2022,Collection,Person-centred care on the move – an interview study with programme directors in Swedish higher education,figshare,2022-08-02T03:20:08Z,2022-08-02T03:20:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,10.1186/s12909-022-03657-4,repository
10.6084/m9.figshare.c.6127666.v1,figshare.ars,figshare Academic Research System,2022,Collection,Person-centred care on the move – an interview study with programme directors in Swedish higher education,figshare,2022-08-02T03:20:08Z,2022-08-02T03:20:11Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,10.1186/s12909-022-03657-4,repository
10.6084/m9.figshare.20416516,figshare.ars,figshare Academic Research System,2022,Text,Additional file 1 of Person-centred care on the move – an interview study with programme directors in Swedish higher education,figshare,2022-08-02T03:20:49Z,2022-08-02T03:20:52Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,20,10.1186/s12909-022-03657-4,repository
10.6084/m9.figshare.20416516.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 1 of Person-centred care on the move – an interview study with programme directors in Swedish higher education,figshare,2022-08-02T03:20:50Z,2022-08-02T03:20:52Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,20,10.1186/s12909-022-03657-4,repository
10.6084/m9.figshare.20445319,figshare.ars,figshare Academic Research System,2022,Text,Additional file 1 of Undergraduate nursing students’ experiences of becoming a professional nurse: a longitudinal study,figshare,2022-08-07T15:17:10Z,2022-08-07T15:17:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,10.1186/s12912-022-01002-0,repository
10.6084/m9.figshare.20445319.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 1 of Undergraduate nursing students’ experiences of becoming a professional nurse: a longitudinal study,figshare,2022-08-07T15:17:11Z,2022-08-07T15:17:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,10.1186/s12912-022-01002-0,repository
10.6084/m9.figshare.c.6135712,figshare.ars,figshare Academic Research System,2022,Collection,Undergraduate nursing students’ experiences of becoming a professional nurse: a longitudinal study,figshare,2022-08-07T15:17:13Z,2022-08-07T15:17:15Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,10.1186/s12912-022-01002-0,repository
10.6084/m9.figshare.c.6135712.v1,figshare.ars,figshare Academic Research System,2022,Collection,Undergraduate nursing students’ experiences of becoming a professional nurse: a longitudinal study,figshare,2022-08-07T15:17:13Z,2022-08-07T15:17:15Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,12,10.1186/s12912-022-01002-0,repository
10.6084/m9.figshare.21062394,figshare.ars,figshare Academic Research System,2022,Text,"Additional file 1 of Experiences of armed conflicts and forced migration among women from countries in the Middle East, Balkans, and Africa: a systematic review of qualitative studies",figshare,2022-09-08T07:03:35Z,2022-09-08T07:03:36Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,28,10.1186/s13031-022-00481-x,repository
10.6084/m9.figshare.21062394.v1,figshare.ars,figshare Academic Research System,2022,Text,"Additional file 1 of Experiences of armed conflicts and forced migration among women from countries in the Middle East, Balkans, and Africa: a systematic review of qualitative studies",figshare,2022-09-08T07:03:35Z,2022-09-08T07:03:37Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,28,10.1186/s13031-022-00481-x,repository
10.6084/m9.figshare.c.6188169,figshare.ars,figshare Academic Research System,2022,Collection,"Experiences of armed conflicts and forced migration among women from countries in the Middle East, Balkans, and Africa: a systematic review of qualitative studies",figshare,2022-09-08T07:03:35Z,2022-09-08T07:03:36Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,24,10.1186/s13031-022-00481-x,repository
10.6084/m9.figshare.c.6188169.v1,figshare.ars,figshare Academic Research System,2022,Collection,"Experiences of armed conflicts and forced migration among women from countries in the Middle East, Balkans, and Africa: a systematic review of qualitative studies",figshare,2022-09-08T07:03:35Z,2022-09-08T07:03:36Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,24,10.1186/s13031-022-00481-x,repository
10.6084/m9.figshare.21087137,figshare.ars,figshare Academic Research System,2022,Text,Additional file 1 of Quality of web-based information about the coronavirus disease 2019: a rapid systematic review of infodemiology studies published during the first year of the pandemic,figshare,2022-09-13T06:57:51Z,2022-09-13T06:57:58Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,28,10.1186/s12889-022-14086-9,repository
10.6084/m9.figshare.21087137.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 1 of Quality of web-based information about the coronavirus disease 2019: a rapid systematic review of infodemiology studies published during the first year of the pandemic,figshare,2022-09-13T06:57:51Z,2022-09-13T06:57:59Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,28,10.1186/s12889-022-14086-9,repository
10.6084/m9.figshare.21087140,figshare.ars,figshare Academic Research System,2022,Text,Additional file 2 of Quality of web-based information about the coronavirus disease 2019: a rapid systematic review of infodemiology studies published during the first year of the pandemic,figshare,2022-09-13T06:57:52Z,2022-09-13T06:57:59Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,28,10.1186/s12889-022-14086-9,repository
10.6084/m9.figshare.21087140.v1,figshare.ars,figshare Academic Research System,2022,Text,Additional file 2 of Quality of web-based information about the coronavirus disease 2019: a rapid systematic review of infodemiology studies published during the first year of the pandemic,figshare,2022-09-13T06:57:52Z,2022-09-13T06:58:00Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,28,10.1186/s12889-022-14086-9,repository
