doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,titleWordCount,clientName,clientType
10.5061/dryad.gg610,dryad.dryad,2011,Dataset,Data from: Limited emigration from an outbreak of a forest pest insect,Dryad,0,1,0,1,0,2011-08-24T16:22:16Z,2025-07-21T20:50:34Z,1,1,OPEN,2,2,12,DRYAD,repository
10.5061/dryad.td03p886,dryad.dryad,2014,Dataset,Data from: Phylogenetic conservatism in plant phenology,Dryad,0,1,0,1,0,2012-02-21T19:24:55Z,2025-07-22T09:28:29Z,1,1,OPEN,0,2,7,DRYAD,repository
10.5061/dryad.7qr3f154,dryad.dryad,2012,Dataset,"Data from: Evolution of critical day length for diapause induction enables range expansion of Diorhabda carinulata, a biological control agent against tamarisk (Tamarix spp.)",Dryad,0,1,0,1,0,2012-03-07T18:50:53Z,2025-07-22T00:15:12Z,1,1,OPEN,0,3,24,DRYAD,repository
10.5061/dryad.f7dm5v5j,dryad.dryad,2012,Dataset,Data from: Strong divergence in trait means but not in plasticity across hatchery and wild populations of sea-run brown trout Salmo trutta,Dryad,0,1,0,1,0,2012-03-20T19:43:11Z,2025-07-22T09:29:37Z,1,1,OPEN,0,3,22,DRYAD,repository
10.5061/dryad.5k3t47p0,dryad.dryad,2012,Dataset,Data from: The Paleozoic origin of enzymatic lignin decomposition reconstructed from 31 fungal genomes,Dryad,0,1,0,1,0,2012-04-09T16:04:29Z,2025-07-22T09:29:52Z,1,1,OPEN,1,2,14,DRYAD,repository
10.5061/dryad.82201,dryad.dryad,2012,Dataset,Data from: Disentangling the roles of history and local selection in shaping clinal variation of allele frequencies and gene expression in Norway spruce (Picea abies),Dryad,0,1,0,1,0,2012-04-25T17:12:41Z,2025-07-21T15:12:06Z,1,1,OPEN,8,2,25,DRYAD,repository
10.5061/dryad.3nh92,dryad.dryad,2012,Dataset,Data from: Browsed twig environmental DNA: diagnostic PCR to identify ungulate species,Dryad,0,1,0,1,0,2012-06-21T16:45:04Z,2025-07-22T02:52:36Z,1,1,OPEN,0,4,12,DRYAD,repository
10.5061/dryad.p4356,dryad.dryad,2012,Dataset,Data from: Selection on variance-controlling genes – adaptability or stability,Dryad,0,1,0,1,0,2012-07-24T17:55:38Z,2025-07-22T09:32:50Z,1,1,OPEN,0,2,10,DRYAD,repository
10.5061/dryad.37mm8,dryad.dryad,2012,Dataset,Data from: Retracing the routes of introduction of invasive species: the case of the Sirex noctilio woodwasp.,Dryad,0,1,0,1,0,2012-09-14T19:18:36Z,2025-07-21T18:22:31Z,1,1,OPEN,0,11,17,DRYAD,repository
10.5061/dryad.88h10,dryad.dryad,2013,Dataset,Data from: The HypoMethylated Partial Restriction (HMPR) method reduces the repetitive content of genomic libraries in Norway spruce (Picea abies),Dryad,0,1,0,1,0,2012-09-21T17:20:53Z,2025-07-22T07:15:20Z,1,1,OPEN,12,2,20,DRYAD,repository
10.5061/dryad.ds2gp,dryad.dryad,2012,Dataset,"Data from: Sequencing of the needle transcriptome from Norway spruce (Picea abies Karst L.) reveals lower substitution rates, but similar selective constraints in gymnosperms and angiosperms",Dryad,0,1,0,1,0,2012-09-21T19:28:42Z,2025-07-22T07:15:23Z,1,1,OPEN,2,5,26,DRYAD,repository
10.5061/dryad.mk68f,dryad.dryad,2012,Dataset,Data from: Fine-grained adaptive divergence in an amphibian: genetic basis of phenotypic divergence and the role of non-random gene flow in restricting effective migration among wetlands,Dryad,0,1,0,1,0,2012-12-13T20:24:16Z,2025-07-21T15:22:37Z,1,1,OPEN,3,1,26,DRYAD,repository
10.5061/dryad.7sn1m,dryad.dryad,2013,Dataset,Data from: Stepping-stone expansion and habitat loss explain a peculiar genetic structure and distribution of a forest insect,Dryad,0,1,0,1,0,2013-03-14T17:30:14Z,2025-07-21T19:10:26Z,1,1,OPEN,6,5,18,DRYAD,repository
10.5061/dryad.s4s2b,dryad.dryad,2013,Dataset,Data from: Transgenerational effects and the cost of ant tending in aphids,Dryad,0,1,0,1,0,2013-04-15T16:28:41Z,2025-07-21T22:37:24Z,1,1,OPEN,9,9,12,DRYAD,repository
10.5061/dryad.52nn2,dryad.dryad,2013,Dataset,Data from: Review on the effects of toxicants on freshwater ecosystem functions,Dryad,0,1,0,1,0,2013-06-03T17:55:10Z,2025-07-22T02:16:39Z,1,1,OPEN,1,6,12,DRYAD,repository
10.5061/dryad.r7nt4,dryad.dryad,2013,Dataset,Data from: Extensive trans-specific polymorphism at the mating type locus of the root decay fungus Heterobasidion,Dryad,0,1,0,1,0,2013-07-09T15:33:32Z,2025-07-21T14:49:56Z,1,1,OPEN,0,2,16,DRYAD,repository
10.5061/dryad.9g7d8,dryad.dryad,2013,Dataset,Data from: Biodiversity ensures plant-pollinator phenological synchrony against climate change,Dryad,0,1,0,1,0,2013-07-31T14:55:01Z,2025-07-21T15:13:26Z,1,1,OPEN,0,2,10,DRYAD,repository
10.5061/dryad.7j504,dryad.dryad,2013,Dataset,Data from: Malaria infections reinforce competitive asymmetry between two Ficedula flycatchers in a recent contact zone,Dryad,0,1,0,1,0,2013-08-30T14:50:37Z,2025-07-21T17:04:04Z,1,1,OPEN,4,2,16,DRYAD,repository
10.5061/dryad.n8379,dryad.dryad,2014,Dataset,Data from: Environmental factors influence both abundance and genetic diversity in a widespread bird species,Dryad,0,1,0,1,0,2013-10-01T19:23:40Z,2025-07-21T17:29:53Z,1,1,OPEN,1,3,15,DRYAD,repository
10.11577/1096903,doe.lbnl,2011,Dataset,Single mimivirus particles intercepted and imaged with an X-ray laser (CXIDB ID 1),"Coherent X-ray Imaging Data Bank (Lawrence Berkeley National Laboratory); Uppsala University; CFEL DESY; 
University of Hamburg; CNRS Aix-Marseille University; SLAC National Accelerator Laboratory (SLAC), Menlo Park, CA 
(United States); Swedish University of Agricultural Sciences; Arizona State University; Lawrence Berkeley National 
Laboratory (LBNL), Berkeley, CA (United States); Max-Planck-Institut fur medizinische Forschung; Max-Planck-Institut fur 
Kernphysik; Max-Planck-Institut Halbleiterlabor; Max-Planck-Institut fur extraterrestrische Physik; PNSensor GmbH; 
Universitat Siegen; Forschungszentrum Julich; TU Berlin",1,0,0,1,0,2013-10-22T02:32:11Z,2020-08-02T12:16:50Z,1,,,,,13,DOE Lawrence Berkeley National Laboratory (LBNL) Repository,repository
10.5061/dryad.gd48h,dryad.dryad,2014,Dataset,"Data from: Stimulation of boreal tree seedling growth by wood-derived charcoal: effects of charcoal properties, seedling species and soil fertility",Dryad,0,1,0,1,0,2013-11-14T15:31:36Z,2025-07-21T19:48:45Z,1,1,OPEN,1,6,20,DRYAD,repository
10.5061/dryad.jr3kh,dryad.dryad,2014,Dataset,Data from: Species’ traits explain differences in Red list status and long-term population trends in longhorn beetles,Dryad,0,1,0,1,0,2013-12-10T14:46:49Z,2025-07-22T02:04:19Z,1,1,OPEN,1,3,17,DRYAD,repository
10.5061/dryad.609t7,dryad.dryad,2014,Dataset,Data from: Land-use intensity and the effects of organic farming on biodiversity: a hierarchical meta-analysis,Dryad,0,1,0,1,0,2013-12-18T15:58:14Z,2025-07-21T20:13:51Z,1,1,,6,17,15,DRYAD,repository
10.5061/dryad.5f3f0,dryad.dryad,2014,Dataset,Data from: Sperm variation within a single ejaculate affects offspring development in Atlantic salmon,Dryad,0,1,0,1,0,2014-01-21T19:40:43Z,2025-07-21T18:34:15Z,1,1,OPEN,0,2,14,DRYAD,repository
10.5061/dryad.cg976,dryad.dryad,2015,Dataset,"Data from: A model for non-equilibrium metapopulation dynamics utilizing data on species occupancy, patch ages and landscape history",Dryad,0,1,0,1,0,2014-02-13T17:22:41Z,2025-07-22T07:42:01Z,1,1,OPEN,0,2,18,DRYAD,repository
10.5061/dryad.98c81,dryad.dryad,2015,Dataset,Data from: Soil-mediated effects of invasive ungulates on native tree seedlings,Dryad,0,1,0,1,0,2014-02-18T15:10:43Z,2025-07-21T16:47:32Z,1,1,OPEN,0,7,11,DRYAD,repository
10.5061/dryad.hd765,dryad.dryad,2014,Dataset,Data from: Discovery of a relict lineage and monotypic family of passerine birds,Dryad,0,1,0,1,0,2014-02-26T14:46:01Z,2025-07-22T07:41:25Z,1,1,OPEN,0,2,13,DRYAD,repository
10.5061/dryad.qh53c,dryad.dryad,2014,Dataset,"Data from: Is the tree of life the best metaphor, model or heuristic for phylogenetics?",Dryad,0,1,0,1,0,2014-03-19T17:02:17Z,2025-07-21T22:32:39Z,1,1,OPEN,0,5,15,DRYAD,repository
10.5061/dryad.ns624,dryad.dryad,2015,Dataset,Data from: Evaluating range-expansion models for calculating nonnative species’ expansion rate,Dryad,0,1,0,1,0,2014-04-28T16:06:34Z,2025-07-22T03:12:16Z,1,1,OPEN,0,2,11,DRYAD,repository
10.5061/dryad.57n5j,dryad.dryad,2014,Dataset,Data from: Intraspecific phenotypic variation among alewife populations drives parallel phenotypic shifts in bluegill,Dryad,0,1,0,1,0,2014-06-02T18:27:21Z,2025-07-22T00:03:21Z,1,1,OPEN,0,3,14,DRYAD,repository
10.5061/dryad.9g2p2,dryad.dryad,2015,Dataset,Data from: Predator-dependent functional response in wolves: from food limitation to surplus killing,Dryad,0,1,0,1,0,2014-07-03T14:57:55Z,2025-07-22T02:20:11Z,1,1,OPEN,6,6,13,DRYAD,repository
10.5061/dryad.mm6f4,dryad.dryad,2014,Dataset,Data from: Biodiversity conservation in agriculture requires a multi-scale approach,Dryad,0,1,0,1,0,2014-07-18T15:06:02Z,2025-07-21T15:12:15Z,1,1,OPEN,5,20,10,DRYAD,repository
10.5061/dryad.84ph3,dryad.dryad,2014,Dataset,Data from: Real-time assessment of hybridization between wolves and dogs: combining non-invasive samples with ancestry informative markers,Dryad,0,1,0,1,0,2014-08-07T14:41:58Z,2025-07-22T07:54:00Z,1,1,OPEN,0,3,17,DRYAD,repository
10.5061/dryad.m49k6,dryad.dryad,2014,Dataset,Data from: Fatal attraction: vegetation responses to nutrient inputs attract herbivores to infectious anthrax carcass sites,Dryad,0,1,0,1,0,2014-09-04T16:59:06Z,2025-07-21T13:59:08Z,1,1,OPEN,2,3,16,DRYAD,repository
10.5061/dryad.qp47h,dryad.dryad,2015,Dataset,Data from: Herbivores enforce sharp boundaries between terrestrial and aquatic ecosystems,Dryad,0,1,0,1,0,2014-09-16T16:26:55Z,2025-07-21T20:22:59Z,1,1,OPEN,1,9,11,DRYAD,repository
10.13140/2.1.3597.9527,rg.rg,2006,Other,"Changing Land Rights, Changing Land Use: Privatisation Drives Landscape Change in Post-Soviet Kyrgyzstan",Swedish University of Agricultural Sciences,1,0,0,1,0,2014-09-19T08:58:25Z,2025-10-02T02:59:30Z,1,,,,,13,ResearchGate,repository
10.5061/dryad.0p36h,dryad.dryad,2014,Dataset,Data from: Evolution of niche preference in Sphagnum peat mosses,Dryad,0,1,0,1,0,2014-09-30T17:17:30Z,2025-07-22T07:59:05Z,1,1,OPEN,1,2,10,DRYAD,repository
10.5061/dryad.67cn1,dryad.dryad,2014,Dataset,Data from: Genetic signs of multiple colonization events in Baltic ciscoes with radiation into sympatric spring and autumn-spawners confined to early post-glacial arrival,Dryad,0,1,0,1,0,2014-10-02T14:26:13Z,2025-07-21T22:24:36Z,1,1,OPEN,1,4,23,DRYAD,repository
10.5061/dryad.0qg71,dryad.dryad,2014,Dataset,Data from: Preference for outbred host plants and positive effects of inbreeding on egg survival in a specialist herbivore,Dryad,0,1,0,1,0,2014-10-02T16:55:57Z,2025-07-21T23:07:09Z,1,1,OPEN,4,1,19,DRYAD,repository
10.5061/dryad.v2k50,dryad.dryad,2015,Dataset,Data from: Local plant adaptation across a subarctic elevational gradient,Dryad,0,1,0,1,0,2014-10-08T14:56:48Z,2025-07-21T23:44:00Z,1,1,OPEN,0,5,10,DRYAD,repository
10.5061/dryad.986mp,dryad.dryad,2015,Dataset,Data from: Recovery of large carnivores in Europe’s modern human-dominated landscapes,Dryad,0,1,0,1,0,2014-11-21T19:24:28Z,2025-07-22T08:04:08Z,1,1,OPEN,0,9,11,DRYAD,repository
10.5061/dryad.0015d,dryad.dryad,2015,Dataset,Data from: Rainfall during parental care reduces reproductive and survival components of fitness in a passerine bird,Dryad,0,1,0,1,0,2014-11-28T23:59:52Z,2025-07-21T17:29:08Z,1,1,OPEN,9,3,17,DRYAD,repository
10.5061/dryad.1qh3k,dryad.dryad,2014,Dataset,Data from: Single locus sex determination and female heterogamety in the basket willow (Salix viminalis L.),Dryad,0,1,0,1,0,2014-12-01T17:48:32Z,2025-07-21T14:24:52Z,1,1,OPEN,4,2,16,DRYAD,repository
10.5061/dryad.177g0,dryad.dryad,2014,Dataset,Data from: Functional identity and diversity of animals predict ecosystem functioning better than species-based indices,Dryad,0,1,0,1,0,2014-12-11T21:49:37Z,2025-07-21T16:33:22Z,1,1,OPEN,3,4,15,DRYAD,repository
10.5061/dryad.2pm21,dryad.dryad,2015,Dataset,Data from: Inorganic fungicides as routinely applied in organic and conventional agriculture can increase palatability but reduce microbial decomposition of leaf litter,Dryad,0,1,0,1,0,2015-01-08T15:57:23Z,2025-07-21T18:50:16Z,1,1,OPEN,1,12,22,DRYAD,repository
10.5061/dryad.pb730,dryad.dryad,2015,Dataset,Data from: Time for recovery of riparian plants in restored northern Swedish streams: a chronosequence study,Dryad,0,1,0,1,0,2015-01-12T09:59:31Z,2025-07-21T21:24:40Z,1,1,OPEN,0,4,16,DRYAD,repository
10.5061/dryad.kb699,dryad.dryad,2016,Dataset,Data from: Response of moose hunters to predation following wolf return in Sweden,Dryad,0,1,0,1,0,2015-01-20T20:35:10Z,2025-07-21T23:45:10Z,1,1,OPEN,2,2,13,DRYAD,repository
10.5061/dryad.f2g0f,dryad.dryad,2016,Dataset,Data from: Convergent losses of decay mechanisms and rapid turnover of symbiosis genes in mycorrhizal mutualists,Dryad,0,1,0,1,0,2015-01-26T17:11:52Z,2025-07-22T08:09:56Z,1,1,OPEN,1,2,16,DRYAD,repository
