doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.1594/pangaea.652833,pangaea.repository,PANGAEA,2007,Dataset,Zooplankton abundance during ARGOS cruise Argos90/8,PANGAEA,2011-12-03T12:09:05Z,2024-07-21T09:18:31Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.1594/pangaea.653132,pangaea.repository,PANGAEA,2007,Dataset,Hydrochemistry measured on water bottle samples during ARGOS cruise Argos90/11,PANGAEA,2011-12-03T12:09:09Z,2024-07-21T00:09:46Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.1594/pangaea.653292,pangaea.repository,PANGAEA,2007,Dataset,Physical oceanography during ARGOS cruise Argos90/8,PANGAEA,2011-12-03T12:09:09Z,2024-07-20T22:34:47Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.1594/pangaea.653304,pangaea.repository,PANGAEA,2007,Dataset,Hydrochemistry measured on water bottle samples during ARGOS cruise Argos90/8,PANGAEA,2011-12-03T12:09:09Z,2024-07-20T11:46:35Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.1594/pangaea.653333,pangaea.repository,PANGAEA,2007,Dataset,Hydrochemistry measured on water bottle samples during ARGOS cruise Argos91/1,PANGAEA,2011-12-03T12:09:09Z,2024-07-21T09:11:32Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.1594/pangaea.653394,pangaea.repository,PANGAEA,2007,Dataset,Hydrochemistry measured on water bottle samples during ARGOS cruise Argos91/5,PANGAEA,2011-12-03T12:09:09Z,2024-07-20T11:45:28Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.1594/pangaea.655230,pangaea.repository,PANGAEA,2007,Dataset,Phytoplankton abundance during ARGOS cruise Argos90/8,PANGAEA,2011-12-03T12:09:20Z,2024-07-25T07:33:50Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.1594/pangaea.655281,pangaea.repository,PANGAEA,2007,Dataset,Phytoplankton abundance during ARGOS cruise Argos91/5,PANGAEA,2011-12-03T12:09:20Z,2024-07-24T20:27:16Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,6,,repository
10.1594/pangaea.656331,pangaea.repository,PANGAEA,2007,Dataset,Hydrochemistry measured on water bottle samples during ARGOS cruise Argos86/5,PANGAEA,2011-12-03T12:12:28Z,2024-07-21T05:41:25Z,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,10,,repository
10.13140/rg.2.1.4898.4086,rg.rg,ResearchGate,2015,Other,VINDRAD+ Gap-filling radars as a method for reducing the conflict between weather radars and wind turbines,Swedish Meteorological and Hydrological Institute,2016-01-20T14:43:32Z,2025-10-09T09:15:48Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,,repository
10.5061/dryad.875fb,dryad.dryad,DRYAD,2016,Dataset,"Data from: Hypoxic areas, density-dependence and food limitation drive the body condition of a heavily exploited marine fish predator",Dryad,2016-09-28T13:41:25Z,2025-07-22T01:29:46Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,0,2,,,,,19,,repository
10.5061/dryad.2pb08,dryad.dryad,DRYAD,2017,Dataset,Data from: Spatio-temporal dynamics of a fish predator: density-dependent and hydrographic effects on Baltic Sea cod population,Dryad,2017-03-14T12:55:31Z,2025-07-21T16:38:18Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,0,2,,,,,17,,repository
10.5281/zenodo.581145,cern.zenodo,Zenodo,2017,Dataset,Hydropower Impact_River Flow_Sweden,Zenodo,2017-05-18T14:09:04Z,2020-09-18T20:34:50Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,2,10,,https://openalex.org/W3211155379,0,0,3,,repository
10.5281/zenodo.581186,cern.zenodo,Zenodo,2017,Dataset,Climate Impact_River Flow_Sweden,Zenodo,2017-05-18T15:50:56Z,2020-09-18T20:33:27Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,OPEN,,,,https://openalex.org/W3210313332,0,0,3,,repository
10.5061/dryad.2jj06,dryad.dryad,DRYAD,2017,Dataset,Data from: Immigrant reproductive dysfunction facilitates ecological speciation,Dryad,2017-08-07T15:44:56Z,2025-07-21T13:54:54Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,3,7,,,,,8,,repository
