doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.5nm5g,dryad.dryad,DRYAD,2014,Dataset,"Data from: Re-visiting the phylogeography and demography of European badgers (Meles meles) based on broad sampling, multiple markers and simulations",Dryad,2014-03-19T13:55:56Z,2025-07-21T18:52:11Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,0,2,,,,,20,,repository
10.13140/2.1.3032.2241,rg.rg,ResearchGate,2009,Other,Assessment of the nutritional condition of domestic and wild animals post mortem (Postmortal bedömning av hull hos tamdjur och vilda djur),"National Veterinary Institute, Sweden, Department of Pathology and Wildlife Diseases, Sweden",2014-12-05T13:18:10Z,2025-10-02T14:18:04Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,21,,repository
10.5061/dryad.kc097,dryad.dryad,DRYAD,2017,Dataset,Data from: Identification of combinatorial host-specific signatures with a potential to affect host adaptation in influenza A H1N1 and H3N2 subtypes,Dryad,2016-06-24T19:33:15Z,2025-07-22T04:21:58Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,0,2,,,,,21,,repository
10.5281/zenodo.818269,cern.zenodo,Zenodo,2006,Text,An Assessment Of The Risk That Em Is Introduced With Dogs Entering Sweden From Other Eu Countries Without And With Anithelmintic Treatments,Zenodo,2017-06-28T14:18:23Z,2020-09-18T21:17:03Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,22,,repository
10.5281/zenodo.818268,cern.zenodo,Zenodo,2006,Text,An Assessment Of The Risk That Em Is Introduced With Dogs Entering Sweden From Other Eu Countries Without And With Anithelmintic Treatments,Zenodo,2017-06-28T14:18:24Z,2020-09-18T21:17:03Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,22,,repository
10.5281/zenodo.818261,cern.zenodo,Zenodo,2007,Text,Risk Assessment For Turberculosis In Deer Imported To Sweden,Zenodo,2017-06-28T14:18:35Z,2020-09-18T21:17:05Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.5281/zenodo.818262,cern.zenodo,Zenodo,2007,Text,Risk Assessment For Turberculosis In Deer Imported To Sweden,Zenodo,2017-06-28T14:18:35Z,2020-09-18T21:17:05Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,9,,repository
10.5281/zenodo.1146567,cern.zenodo,Zenodo,2018,Dataset,The list of QPS status recommended biological agents for safety risk assessments carried out by EFSA,Zenodo,2018-01-12T19:54:49Z,2025-05-02T13:03:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,,repository
10.5281/zenodo.1146713,cern.zenodo,Zenodo,2018,Dataset,The list of QPS status recommended biological agents for safety risk assessments carried out by EFSA,Zenodo,2018-01-12T20:02:49Z,2025-05-02T13:03:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,,repository
10.5281/zenodo.1158647,cern.zenodo,Zenodo,2018,Dataset,The list of QPS status recommended biological agents for safety risk assessments carried out by EFSA,Zenodo,2018-01-24T15:54:10Z,2025-05-02T13:03:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,,repository
10.6084/m9.figshare.5960371,figshare.ars,figshare Academic Research System,2023,Text,Additional file 1 of Antimicrobials in small-scale urban pig farming in a lower middle-income country – arbitrary use and high resistance levels,figshare,2018-03-08T06:26:12Z,2023-06-25T03:13:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,22,,repository
10.6084/m9.figshare.5960371.v1,figshare.ars,figshare Academic Research System,2018,Text,Additional file 1: of Antimicrobials in small-scale urban pig farming in a lower middle-income country – arbitrary use and high resistance levels,figshare,2018-03-08T06:26:12Z,2023-06-25T03:13:22Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,22,10.1186/s13756-018-0328-y,repository
10.6084/m9.figshare.c.4025692,figshare.ars,figshare Academic Research System,2023,Collection,Antimicrobials in small-scale urban pig farming in a lower middle-income country – arbitrary use and high resistance levels,figshare,2018-03-08T06:26:16Z,2023-06-25T03:13:20Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,18,,repository
10.6084/m9.figshare.c.4025692.v1,figshare.ars,figshare Academic Research System,2018,Collection,Antimicrobials in small-scale urban pig farming in a lower middle-income country – arbitrary use and high resistance levels,figshare,2018-03-08T06:26:16Z,2023-06-25T03:13:21Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,18,,repository
10.5281/zenodo.1292467,cern.zenodo,Zenodo,2018,Other,PAP Model,Zenodo,2018-06-19T08:29:16Z,2020-09-20T02:46:17Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.5281/zenodo.1292466,cern.zenodo,Zenodo,2018,Other,PAP Model,Zenodo,2018-06-19T08:29:17Z,2020-09-20T02:46:16Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.5281/zenodo.1292484,cern.zenodo,Zenodo,2018,Other,FEED Model,Zenodo,2018-06-19T08:39:16Z,2020-09-20T02:46:21Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.5281/zenodo.1292485,cern.zenodo,Zenodo,2018,Other,FEED Model,Zenodo,2018-06-19T08:39:16Z,2020-09-20T02:46:22Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.5281/zenodo.1313616,cern.zenodo,Zenodo,2018,Dataset,The list of QPS status recommended biological agents for safety risk assessments carried out by EFSA,Zenodo,2018-07-17T12:38:20Z,2025-05-02T13:03:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,,repository
10.5281/zenodo.1326863,cern.zenodo,Zenodo,2018,Software,PredictiveEcology/reproducible: v0.2.2,Zenodo,2018-08-02T21:26:32Z,2024-04-20T02:45:33Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.5281/zenodo.1341341,cern.zenodo,Zenodo,2018,Software,PredictiveEcology/reproducible: v0.2.3,Zenodo,2018-08-07T18:57:00Z,2024-04-20T02:45:18Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.5281/zenodo.1486143,cern.zenodo,Zenodo,2018,Software,PredictiveEcology/reproducible: v0.2.5,Zenodo,2018-11-13T17:17:43Z,2024-04-20T02:45:36Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.5281/zenodo.2548426,cern.zenodo,Zenodo,2019,Dataset,The list of QPS status recommended biological agents for safety risk assessments carried out by EFSA,Zenodo,2019-01-24T10:29:22Z,2025-05-02T13:03:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,10.2903/j.efsa.2017.4664,repository
10.5281/zenodo.2555248,cern.zenodo,Zenodo,2019,Software,PredictiveEcology/reproducible: v0.2.6,Zenodo,2019-02-01T18:05:19Z,2024-04-20T02:45:58Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.5281/zenodo.2557433,cern.zenodo,Zenodo,2019,Dataset,The list of QPS status recommended biological agents for safety risk assessments carried out by EFSA,Zenodo,2019-02-05T10:46:54Z,2025-05-02T13:03:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,10.2903/j.efsa.2017.4664,repository
10.5281/zenodo.2565996,cern.zenodo,Zenodo,2019,Dataset,The list of QPS status recommended biological agents for safety risk assessments carried out by EFSA,Zenodo,2019-02-15T12:18:20Z,2025-05-02T13:03:34Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,16,10.2903/j.efsa.2017.4664,repository
10.5281/zenodo.2586987,cern.zenodo,Zenodo,2019,Software,PredictiveEcology/reproducible: v0.2.7,Zenodo,2019-03-07T16:30:34Z,2024-04-20T02:45:44Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.5281/zenodo.2597701,cern.zenodo,Zenodo,2019,Software,PredictiveEcology/reproducible: v0.2.8,Zenodo,2019-03-19T02:42:53Z,2024-04-20T02:45:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.5281/zenodo.3387567,cern.zenodo,Zenodo,2019,Software,PredictiveEcology/reproducible: v0.2.9,Zenodo,2019-09-05T17:10:46Z,2020-07-30T00:01:14Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
10.5281/zenodo.3406588,cern.zenodo,Zenodo,2019,Software,PredictiveEcology/reproducible: v0.2.10,Zenodo,2019-09-12T16:21:41Z,2020-07-30T00:33:41Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2,,repository
