doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5061/dryad.ksn02v77s,dryad.dryad,DRYAD,2022,Dataset,Survey results for: Public perceptions of cultural ecosystem services provided by beach nourishment and eelgrass restoration in southern Sweden,Dryad,2022-10-09T17:44:06Z,2025-07-23T05:47:26Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,17,4,,,,,19,,repository
10.13140/rg.2.2.24093.28648,rg.rg,ResearchGate,2023,Text,Fastläggning av PFAS i grundvatten med sorbenter: Kan spridningen av per- och polyfluorerade alkylsubstanser (PFAS) från förorenade områden stoppas med sorbenter?,Swedish Geotechnical Institute,2023-10-03T09:09:31Z,2025-10-21T13:55:49Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,21,,repository
10.5878/va6j-r422,snd.snd,Swedish National Data Service,2024,Dataset,Cu and Zn concentrations in CaCl2-extracts of spiked and contaminated soils,Swedish Geotechnical Institute,2024-01-25T15:18:38Z,2025-09-22T09:42:43Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,11,10.1002/etc.5326,repository
10.5878/jenv-1j56,snd.snd,Swedish National Data Service,2024,Dataset,Cu and Zn concentrations in CaCl2-extracts of spiked and contaminated soils,Swedish Geotechnical Institute,2024-01-25T15:18:39Z,2025-09-22T09:57:25Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,11,10.1002/etc.5326,repository
10.5878/efnj-xv18,snd.snd,Swedish National Data Service,2025,Dataset,"Data to: Determination of polyoxymethylene (POM) water partition coefficients for DDT and its degradation products, with interlaboratory comparison of the passive sampling methodology and bioaccumulation in earthworm (Eisenia fetida)",Swedish Geotechnical Institute,2025-06-30T13:05:22Z,2025-06-30T13:05:23Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,29,10.1071/en25011,repository
10.5878/qa5t-9m40,snd.snd,Swedish National Data Service,2025,Dataset,"Data to: Determination of polyoxymethylene (POM) water partition coefficients for DDT and its degradation products, with interlaboratory comparison of the passive sampling methodology and bioaccumulation in earthworm (Eisenia fetida)",Swedish Geotechnical Institute,2025-06-30T13:05:23Z,2025-06-30T13:05:24Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,29,10.1071/en25011,repository
10.5878/x1xj-8a46,snd.snd,Swedish National Data Service,2025,Dataset,Data to: Evaluation of Standardised (ISO) Leaching Tests for Assessing Leaching and Solid–Solution Partitioning of Perfluoroalkyl Substances (PFAS) in Soils,Swedish Geotechnical Institute,2025-06-30T13:06:05Z,2025-06-30T13:06:05Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,20,10.3390/environments12060179,repository
10.5878/ephh-d388,snd.snd,Swedish National Data Service,2025,Dataset,Data to: Evaluation of Standardised (ISO) Leaching Tests for Assessing Leaching and Solid–Solution Partitioning of Perfluoroalkyl Substances (PFAS) in Soils,Swedish Geotechnical Institute,2025-06-30T13:06:06Z,2025-06-30T13:06:06Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,20,10.3390/environments12060179,repository
10.5281/zenodo.4563905,,,2021,dataset,Dataset for Ob River floodplain,Zenodo,,,,,0,,,,0,0,0,0,0,0,0,0,,1,1,,OPEN,2,12,doi_dedup___::3d8382c97d4d818abeb4687648c40b2d,https://openalex.org/W3214328670,6,0,5,,
10.5281/zenodo.4153050,,,2020,dataset,Carbon emission from Western Siberian inland waters,Zenodo,,,,,0,,,,0,0,0,0,0,0,0,0,,1,1,,OPEN,46,79,doi_dedup___::99444904d53aa25874462002b9c41a53,https://openalex.org/W4393727862,6,0,7,,
